mpolicy,policy_digits,event_role,effective_date,amount,debit_code,credit_code,debit_account,credit_account,date_reversed,rule_reason,source_lineage,option3_status
9010385491C,9010385491,ECONOMIC_DEATH_PAYOUT_SOURCE,20190501,1999.86,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010385491C,9010385491,ECONOMIC_DEATH_PAYOUT_SOURCE,20190501,1999.86,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010385491C,9010385491,ECONOMIC_DEATH_PAYOUT_SOURCE,20190501,1999.86,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010385491C,9010385491,ECONOMIC_DEATH_PAYOUT_SOURCE,20190501,6000.23,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010385491C,9010385491,LOOP_DATE_EXCLUDED,20210707,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010391359C,9010391359,ECONOMIC_DEATH_PAYOUT_SOURCE,20211119,1260.06,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010411499C,9010411499,ECONOMIC_DEATH_PAYOUT_SOURCE,20200830,10467.29,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010411499C,9010411499,ECONOMIC_DEATH_PAYOUT_SOURCE,20200831,10466.96,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010411499C,9010411499,LOOP_DATE_EXCLUDED,20210930,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010428771C,9010428771,ECONOMIC_DEATH_PAYOUT_SOURCE,20200311,5000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010428771C,9010428771,ECONOMIC_DEATH_PAYOUT_SOURCE,20200311,5023.62,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010428771C,9010428771,LOOP_DATE_EXCLUDED,20200423,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010500769C,9010500769,ECONOMIC_DEATH_PAYOUT_SOURCE,20230824,5023.14,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010745640C,9010745640,ECONOMIC_DEATH_PAYOUT_SOURCE,20230901,5022.62,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
