MPOLICY,MDEP_BEFORE,MDEP_AFTER,MINTYTD_BEFORE,MINTYTD_AFTER,MINTDATE_BEFORE,MINTDATE_AFTER,MDEPINT
010143726C,0.0,0.0,0.0,0.0,,,4.00
010148272C,0.0,1159.75,0.0,0.0,,20251231,4.00
010148856C,0.0,1201.44,0.0,0.0,,20251231,4.00
010149295C,0.0,0.0,0.0,0.0,,,4.00
010149834C,0.0,896.04,0.0,0.0,,20180302,4.00
010150031C,0.0,0.0,0.0,0.0,,,4.00
010150740C,0.0,1664.37,0.0,0.0,,20230509,4.00
010150910C,0.0,0.0,0.0,0.0,,,4.00
010154425C,0.0,1100.42,0.0,0.0,,20201201,4.00
010157076C,0.0,1203.11,0.0,3.6,,20260201,4.00
010158001C,0.0,1180.85,0.0,6.61,,20260301,4.00
010161748C,0.0,2893.67,0.0,32.58,,20260501,4.00
010165095C,0.0,0.0,0.0,0.0,,,4.00
010171334C,0.0,0.0,0.0,0.0,,,4.00
010185592C,0.0,0.0,0.0,0.0,,20191211,4.00
010235370C,0.0,0.0,0.0,0.0,,,4.00
010264207C,0.0,0.0,0.0,0.0,,,4.00
010300689C,0.0,0.0,0.0,0.0,,,4.00
010310404C,0.0,0.0,0.0,0.0,,,4.00
010331157C,0.0,9033.17,0.0,0.0,,20190315,4.00
010331768C,0.0,0.0,0.0,0.0,,,4.00
010335038C,0.0,6635.0,0.0,0.0,,20180422,4.00
010335095C,0.0,0.0,0.0,0.0,,,4.00
010346921C,0.0,1994.91,0.0,0.0,,20251231,4.00
010348734C,0.0,0.0,0.0,0.0,,,4.00
010350577C,0.0,0.0,0.0,0.0,,,4.00
010360289C,0.0,0.0,0.0,0.0,,,4.00
010360290C,0.0,0.0,0.0,0.0,,,4.00
010363098C,0.0,0.0,0.0,0.0,,,4.00
010367131C,0.0,0.0,0.0,0.0,,,4.00
010367132C,0.0,0.0,0.0,0.0,,,4.00
010367133C,0.0,0.0,0.0,0.0,,,4.00
010367438C,0.0,0.0,0.0,0.0,,,4.00
010367704C,0.0,0.0,0.0,0.0,,,4.00
010367705C,0.0,0.0,0.0,0.0,,,4.00
010368703C,0.0,0.0,0.0,0.0,,,4.00
010371171C,0.0,0.0,0.0,0.0,,,4.00
010371356C,0.0,0.0,0.0,0.0,,,4.00
010373918C,0.0,0.0,0.0,0.0,,,4.00
010374099C,0.0,0.0,0.0,0.0,,,4.00
010374779C,0.0,0.0,0.0,0.0,,,4.00
010374837C,0.0,0.0,0.0,0.0,,,4.00
010374838C,0.0,0.0,0.0,0.0,,,4.00
010376522C,0.0,0.0,0.0,0.0,,,4.00
010376529C,0.0,0.0,0.0,0.0,,,4.00
010376540C,0.0,0.0,0.0,0.0,,,4.00
010377918C,0.0,0.0,0.0,0.0,,,4.00
010378485C,0.0,0.0,0.0,0.0,,,4.00
010378710C,0.0,0.0,0.0,0.0,,,4.00
010378829C,0.0,0.0,0.0,0.0,,,4.00
010378830C,0.0,9888.08,0.0,0.0,,20251231,4.00
010379405C,0.0,0.0,0.0,0.0,,,4.00
010379477C,0.0,0.0,0.0,0.0,,,4.00
010379478C,0.0,0.0,0.0,0.0,,,4.00
010380049C,0.0,0.0,0.0,0.0,,,4.00
010380550C,0.0,0.0,0.0,0.0,,,4.00
010380625C,0.0,0.0,0.0,0.0,,,4.00
010380627C,0.0,0.0,0.0,0.0,,,4.00
010380808C,0.0,9220.33,0.0,0.0,,20251231,4.00
010381516C,0.0,0.0,0.0,0.0,,,4.00
010381745C,0.0,0.0,0.0,0.0,,,4.00
010382426C,0.0,4020.04,0.0,4.3,,20260112,4.00
010382448C,0.0,0.0,0.0,0.0,,,4.00
010382520C,0.0,0.0,0.0,0.0,,,4.00
010382931C,0.0,0.0,0.0,0.0,,,4.00
010385491C,0.0,0.0,0.0,0.0,,,4.00
010385636C,0.0,0.0,0.0,0.0,,,4.00
010388767C,0.0,0.0,0.0,0.0,,,4.00
010389651C,0.0,0.0,0.0,0.0,,,4.00
010389802C,0.0,0.0,0.0,0.0,,,4.00
010390061C,0.0,0.0,0.0,0.0,,,4.00
010390251C,0.0,0.0,0.0,0.0,,,4.00
010391004C,0.0,0.0,0.0,0.0,,,4.00
010391228C,0.0,0.0,0.0,0.0,,,4.00
010391355C,0.0,0.0,0.0,0.0,,,4.00
010391359C,0.0,0.0,0.0,0.0,,,4.00
010391411C,0.0,0.0,0.0,0.0,,,4.00
010391422C,0.0,0.0,0.0,0.0,,,4.00
010391582C,0.0,0.0,0.0,0.0,,,4.00
010391679C,0.0,0.0,0.0,0.0,,,4.00
010391840C,0.0,0.0,0.0,0.0,,,4.00
010391841C,0.0,0.0,0.0,0.0,,,4.00
010391876C,0.0,0.0,0.0,0.0,,,4.00
010391878C,0.0,0.0,0.0,0.0,,,4.00
010391895C,0.0,0.0,0.0,0.0,,,4.00
010392117C,0.0,0.0,0.0,0.0,,,4.00
010392138C,0.0,0.0,0.0,0.0,,,4.00
010392493C,0.0,0.0,0.0,0.0,,,4.00
010392763C,0.0,0.0,0.0,0.0,,,4.00
010392930C,0.0,0.0,0.0,0.0,,,4.00
010393142C,0.0,0.0,0.0,0.0,,,4.00
010393143C,0.0,0.0,0.0,0.0,,,4.00
010393158C,0.0,0.0,0.0,0.0,,,4.00
010393181C,0.0,0.0,0.0,0.0,,,4.00
010393401C,0.0,0.0,0.0,0.0,,,4.00
010393899C,0.0,0.0,0.0,0.0,,,4.00
010393931C,0.0,0.0,0.0,0.0,,,4.00
010394249C,0.0,0.0,0.0,0.0,,,4.00
010394353C,0.0,0.0,0.0,0.0,,,4.00
010394662C,0.0,0.0,0.0,0.0,,,4.00
010395098C,0.0,0.0,0.0,0.0,,,4.00
010395211C,0.0,0.0,0.0,0.0,,,4.00
010395382C,0.0,0.0,0.0,0.0,,,4.00
010395411C,0.0,0.0,0.0,0.0,,,4.00
010395761C,0.0,0.0,0.0,0.0,,,4.00
