policy_number,claim_activity_present_flag,likely_payee_candidates,beneficiary_candidates,payee_candidates,owner_candidates,trustee_candidates,relationship_resolution_priority,fallback_strategy_candidate
9010149834,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:704086|B2:704087|B2:704088,PE:590264,PO:590264,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010150740,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696234|B2:696235|B2:696236|B2:696237,PE:696234,PO:590267,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010150910,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:710185|B1:710186|B1:710187|B1:710188,PE:710185|PE:710186|PE:710187|PE:710188,PO:590268,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010154425,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696242,PE:590277,PO:590277,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010185592,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696285,PE:590307,PO:590307,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010235370,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696295|B2:696294,PE:590311,PO:590311,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010331157,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:709555|B1:709556|B1:709557|B1:709558|B1:709559,PE:709555|PE:709556|PE:709557|PE:709558|PE:709559,PO:590339,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010331768,Y,B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:705687,,PO:590340,,B1|PO|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010335038,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:581281|B2:696358,PE:581281,PO:590354,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010335095,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:608956|B2:694499|B2:694500,PE:590355,PO:590355,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010346921,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696359|B2:696360,PE:590357,PO:590357,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010348734,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696361|B2:608158,PE:590361,PO:590361,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010360289,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696366,PE:587630,PO:587630,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010360290,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696366,PE:587631,PO:587631,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010363098,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696406,PE:696406,PO:590369,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010367438,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696432|B2:696433|B2:711405|B2:711406,PE:696433|PE:711405|PE:711406,PO:587645,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010367705,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696434|B2:696435,PE:587650,PO:587650,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010368703,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696436|B2:696437,PE:696436,PO:587651,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010371171,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696442|B2:696443|B2:696444,PE:696442,PO:587655,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010373918,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:710730|B2:710731,PE:587669,PO:587669,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010374779,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696461|B2:702145,PE:696461,PO:587673,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010376522,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:710557,PE:590378,PO:590378,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010376529,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:704852|B1:704853,PE:587684,PO:587684,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010376540,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:701011,PE:701011,PO:587689,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010377918,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696483|B2:696484|B2:696485,PE:587690,PO:587690,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010378710,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696488,PE:696488,PO:590381,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010378829,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:600763|B2:600767,PE:600763,PO:590382,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010379405,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696515,PE:590386,PO:590386,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010380049,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:707657|B2:707658|B2:707659,,PO:590392,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010380627,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696533|B2:696534,,PO:590398,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010381745,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696544|B2:696545,PE:587710,PO:587710,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010382426,Y,B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696547|B1:696548,,PO:589752,,B1|PO|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010382520,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696555|B2:696556,PE:590407|PE:696555,PO:590407,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010382931,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696558,PE:590409|PE:696558,PO:590409,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010385491,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:710975|B2:696568|B2:696569|B2:696570,PE:696567|PE:696568|PE:696569|PE:696570|PE:710975,PO:587731,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010385636,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:684600|B2:684601,PE:590349,PO:590349,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010389651,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696590,PE:696590,PO:587752,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010389802,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696591,PE:590416,PO:590416,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010391004,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:382995|B2:696605,,PO:587766,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010391228,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696606|B2:696607,PE:590418,PO:590418,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010391359,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:627639|B2:696613,PE:627639,PO:590419,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010391422,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696622|B1:696623|B2:696624|B2:696625,PE:587776,PO:587776,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010392138,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:696641|B2:696642|B2:696643,PE:587796,PO:587796,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010392493,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:587808,PE:587807|PE:587808,PO:587808,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010392763,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:696652|B1:704465|B1:711627|B1:711629|B1:711630,PE:704465|PE:711627|PE:711629|PE:711630,PO:587811,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010393158,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697363,PE:587839|PE:697363,PO:587839,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010393181,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:602728|B2:697365|B2:697366,PE:237424,PO:237424,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010393931,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:587858|B2:697443,PE:587857|PE:587858,PO:587857,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010394249,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697448|B2:615519,PE:697448,PO:587866,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010394662,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697451|B2:697452,PE:689946,PO:587873,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010395382,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|AS:Assignee|IN:Insured,B1:697465|B2:697442,PE:627639|PE:697465,PO:587895,,PE|B1|PO|B2|AS|IN,EXPLICIT_PAYEE_AVAILABLE
9010395761,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697474,PE:587900,PO:587900,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010395878,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:587905|B2:615519,PE:587905,PO:587904,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010395879,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:587904|B2:712147|B2:712148|B2:712149|B2:712150|B2:712151|B2:712152|B2:712153,PE:587905|PE:712147|PE:712149|PE:712150|PE:712151|PE:712152|PE:712153,PO:587905,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010396147,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:708165,PE:708165,PO:587914,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010396186,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697520|B2:697521|B2:697522,,PO:587915,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010396425,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:587921|B2:697523|B2:697524,,PO:587922,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010397118,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697536|B2:697537,PE:587934,PO:587934,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010397318,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:707078|B1:707079,PE:587938|PE:707078|PE:707079,PO:587938,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
