reconstructed_claim_id,gross_benefit_amount,interest_amount,loan_offsets,withholding_amount,surrender_charges,payout_amount,unidentified_amount,missing_component_candidates,suspected_unlinked_transactions,balancing_status
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010150740-1-DEATH_CLAIM-C0-20230509,1500.0,0.0,0.0,0.0,0.0,3213.59,4927.18,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010150910-1-DEATH_CLAIM-C0-20200423,1000.0,0.0,0.0,0.0,0.0,1134.57,1141.62,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010150910-3-DEATH_CLAIM-C0-20200423,127.52,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,0.0,0.0,0.0,0.0,0.0,2107.95,2107.95,0567|1900|PAYOUT_ONLY_ROLLUP,,UNBALANCED
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,0.0,0.0,0.0,0.0,0.0,3517.03,3517.03,0567|1900|PAYOUT_ONLY_ROLLUP,,UNBALANCED
RC-9010331157-1-DEATH_CLAIM-C0-20190315,10000.0,189.69,0.0,0.0,0.0,19446.62,28703.55,0411|0412|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,0.0,602.44,602.44,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,0.0,629.65,629.65,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,0.0,634.15,634.15,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,0.0,610.51,610.51,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,0.0,635.4,635.4,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,0.0,202.33,202.33,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,0.0,603.83,603.83,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,0.0,589.3,589.3,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010335038-1-DEATH_CLAIM-C0-20180422,5000.0,0.0,0.0,0.0,0.0,11777.05,18554.1,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,0.0,0.0,0.0,0.0,0.0,2474.02,2474.02,0567|1900|PAYOUT_ONLY_ROLLUP,,UNBALANCED
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,0.0,70.9,70.9,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,0.0,214.74,214.74,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,0.0,218.24,218.24,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,0.0,74.64,74.64,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,0.0,224.83,224.83,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,0.0,109.78,109.78,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,0.0,204.43,204.43,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,0.0,213.9,213.9,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,0.0,208.75,208.75,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,0.0,0.0,0.0,0.0,0.0,56.85,56.85,0567|1900|PAYOUT_ONLY_ROLLUP,,MINOR_VARIANCE
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010363098-1-DEATH_CLAIM-C0-20220917,5000.0,0.0,0.0,0.0,0.0,7770.08,7774.43,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,0.0,258.25,258.25,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010363098-5-DEATH_CLAIM-C0-20220917,2765.73,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010367438-1-DEATH_CLAIM-C0-20211110,3580.0,0.0,0.0,0.0,0.0,4469.37,6044.99,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,0.0,74.67,74.67,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,0.0,77.32,77.32,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,0.0,81.39,81.39,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,0.0,403.33,403.33,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,0.0,52.45,52.45,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010367438-2-DEATH_CLAIM-C0-20211110,2464.99,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010368703-1-DEATH_CLAIM-C0-20210114,6865.0,0.0,0.0,0.0,0.0,12890.67,12896.48,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010368703-2-DEATH_CLAIM-C0-20210114,6019.86,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010371171-1-DEATH_CLAIM-C0-20240624,6430.0,0.0,0.0,0.0,0.0,12834.01,12856.34,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010371171-2-DEATH_CLAIM-C0-20240624,6381.68,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010374779-1-DEATH_CLAIM-C0-20200530,4348.0,0.0,0.0,0.0,0.0,8353.43,8353.43,0038|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010374779-2-DEATH_CLAIM-C0-20200530,4005.43,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,0.0,1011.56,1107.16,0.0,0.0,0.0,95.6,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,0.0,1080.41,1176.01,0.0,0.0,0.0,95.6,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,0.0,1152.9,1248.5,0.0,0.0,0.0,95.6,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,0.0,816.12,816.12,0.0,0.0,0.0,0.0,0090|0411|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,0.0,532.23,2532.23,0.0,0.0,0.0,2000.0,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,0.0,60.72,60.72,0.0,0.0,0.0,0.0,0090|0411|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9924.0,85.54,0.0,0.0,0.0,11706.76,11706.76,0038|0411|0412|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
