source_plan,ql_plan,issue_age,duration,renewal_net,terminal_reserve,mean_reserve,cash_value,paid_up,eti_years,eti_days,pure_end,inforce_unit,gender,uwclass,band,source_file,source_page,extract_method,extract_confidence
P7MN,10P7MN,18,1,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,2,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,3,5.385586,26,09,65,82,,,8,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.8800
P7MN,10P7MN,18,4,5.385586,,2,9,12,,,248,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.8228
P7MN,10P7MN,18,5,5.385586,9,37.83,6.21,160,,10,6,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.4477
P7MN,10P7MN,18,6,5.385586,43,4365,0.46,7,,3,4,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1138
P7MN,10P7MN,18,7,5.385586,501,974,75008,234,,15,119,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1796
P7MN,10P7MN,18,8,5.385586,3000,330,,,,36,35,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0848
P7MN,10P7MN,18,9,5.385586,059,04040,7007,003,,,0,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1178
P7MN,10P7MN,18,10,5.385586,700,,0890,3,,6,10,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0370
P7MN,10P7MN,18,11,5.385586,1904,6,3,,,09,0,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0620
P7MN,10P7MN,18,12,5.385586,,0,,79,,7,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1084
P7MN,10P7MN,18,13,5.385586,4,4,,5,,5,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0483
P7MN,10P7MN,18,14,5.385586,,,6,788,,55,77,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1214
P7MN,10P7MN,18,15,5.385586,,,,5174,,375,3,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.4025
P7MN,10P7MN,18,16,5.385586,,,,539,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.8877
P7MN,10P7MN,18,17,5.385586,,,30,562,,26,85,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1481
P7MN,10P7MN,18,18,5.385586,48.5,1662,1910,585,,26,109,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.3840
P7MN,10P7MN,18,19,5.385586,158.,156.52,6415,607,,26,85,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1692
P7MN,10P7MN,18,20,5.385586,1695,16672,77057,0,,20,42,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1417
P7MN,10P7MN,18,21,5.385586,60.,9,34,,,09,3,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.2580
P7MN,10P7MN,18,22,5.385586,1710,9,191,000,,,404,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1339
P7MN,10P7MN,18,23,5.385586,806,,402,4,,4,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1186
P7MN,10P7MN,18,24,5.385586,0,1.00,3,4,,,1,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0475
P7MN,10P7MN,18,25,5.385586,6,2,,,,,197,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0889
P7MN,10P7MN,18,26,5.385586,5,7,1,2,,5,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0330
P7MN,10P7MN,18,27,5.385586,5746,767,90,3,,,9,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0583
P7MN,10P7MN,18,28,5.385586,520,3,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1073
