cfic_plan,ql_plan,gender,uwclass,age,rate_under_100k,rate_over_100k,cash_value_10,cash_value_20,cash_value_65,paid_up_10,paid_up_20,paid_up_65,source_pdf,source_page,extract_method,extract_confidence
P7MN,10P7MN,M,NS,18,6.17,5.39,21,84,433,197,514,898,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.886
P7MN,10P7MN,M,NS,19,6.37,5.58,24,90,431,208,523,894,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.896
P7MN,10P7MN,M,NS,20,6.60,5.79,26,96,429,220,532,891,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.925
P7MN,10P7MN,M,NS,21,6.60,0.79,20,90,497,231,541,887,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.905
P7MN,10P7MN,M,NS,22,7.07,6.23,31,107,425,242,550,878,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.942
P7MN,10P7MN,M,NS,23,7.32,6.47,34,114,423,252,565,874,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.928
P7MN,10P7MN,M,NS,24,7.60,6.73,36,120,421,262,565,869,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.999
P7MN,10P7MN,M,NS,25,7.90,7.01,39,127,419,271,571,869,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.997
P7MN,10P7MN,M,NS,26,8.21,7.30,42,134,416,279,578,863,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.989
P7MN,10P7MN,M,NS,27,8.55,7.62,45,141,413,286,583,851,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.987
P7MN,10P7MN,M,NS,28,8.91,7.95,48,149,410,293,589,851,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.937
P7MN,10P7MN,M,NS,29,9.28,8.30,52,156,407,299,593,837,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.973
P7MN,10P7MN,M,NS,30,9.69,8.68,55,164,403,304,598,837,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.944
P7MN,10P7MN,M,NS,31,8.91,7.95,48,149,407,299,593,844,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.946
P7MN,10P7MN,M,NS,32,10.55,9.49,62,181,392,314,611,813,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.945
P7MN,10P7MN,M,NS,33,11.04,9.94,65,189,287,318,611,803,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.974
P7MN,10P7MN,M,NS,34,11.53,10.40,69,198,387,323,619,793,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.997
