COVERAGE_ID,SEQ   ,SEGT_FLAG,SEGT_ID   ,COVR_KEY0                     
-----------,------,---------,----------,------------------------------
0822 620   ,     1,Y        ,0822 620  ,0x3038323220363230202030303031
0822 620   ,     2,N        ,          ,0x3038323220363230202030303032
0822 620   ,     3,N        ,          ,0x3038323220363230202030303033
0822 620   ,     4,N        ,          ,0x3038323220363230202030303034
0822 620   ,     5,N        ,          ,0x3038323220363230202030303035
0822 620   ,     6,N        ,          ,0x3038323220363230202030303036
0822 620   ,     7,N        ,          ,0x3038323220363230202030303037
0822 620   ,     8,N        ,          ,0x3038323220363230202030303038
0822 620   ,     9,N        ,          ,0x3038323220363230202030303039
0822 620   ,    10,N        ,          ,0x3038323220363230202030303130
0822 620   ,    11,N        ,          ,0x3038323220363230202030303131
0822 620   ,    12,N        ,          ,0x3038323220363230202030303132
0822 620   ,    13,N        ,          ,0x3038323220363230202030303133
0822 620   ,    14,N        ,          ,0x3038323220363230202030303134
0822 620   ,    15,N        ,          ,0x3038323220363230202030303135
0822 620   ,    16,N        ,          ,0x3038323220363230202030303136
0822 620   ,    17,N        ,          ,0x3038323220363230202030303137
0822 620   ,    18,Y        ,ADB       ,0x3038323220363230202030303138
0822 620   ,    19,Y        ,BASE      ,0x3038323220363230202030303139
0822 620   ,    20,N        ,          ,0x3038323220363230202030303230
0822 620   ,    21,N        ,          ,0x3038323220363230202030303231
0822 620   ,    22,N        ,          ,0x3038323220363230202030303232
0822 620   ,    23,N        ,          ,0x3038323220363230202030303233
0822 620   ,    24,N        ,          ,0x3038323220363230202030303234
0822 620   ,    25,N        ,          ,0x3038323220363230202030303235
0822 620   ,    26,N        ,          ,0x3038323220363230202030303236
0822 620   ,    27,N        ,          ,0x3038323220363230202030303237
0822 620   ,    28,N        ,          ,0x3038323220363230202030303238
0822 620   ,    29,N        ,          ,0x3038323220363230202030303239
0822 620   ,    30,N        ,          ,0x3038323220363230202030303330
0822 620   ,    31,N        ,          ,0x3038323220363230202030303331
0822 620   ,    32,N        ,          ,0x3038323220363230202030303332
0822 620   ,    33,N        ,          ,0x3038323220363230202030303333
0822 620   ,    34,N        ,          ,0x3038323220363230202030303334
0822 620   ,    35,N        ,          ,0x3038323220363230202030303335
0822 620   ,    36,N        ,          ,0x3038323220363230202030303336
0822 620   ,    37,N        ,          ,0x3038323220363230202030303337
0822 620   ,    38,N        ,          ,0x3038323220363230202030303338
0822 620   ,    39,N        ,          ,0x3038323220363230202030303339
0822 620   ,    40,N        ,          ,0x3038323220363230202030303430
0822 620   ,    41,N        ,          ,0x3038323220363230202030303431
0822 620   ,    42,N        ,          ,0x3038323220363230202030303432
0822 620   ,    43,N        ,          ,0x3038323220363230202030303433
0822 620   ,    44,N        ,          ,0x3038323220363230202030303434
0822 620   ,    45,N        ,          ,0x3038323220363230202030303435
0822 620   ,    46,N        ,          ,0x3038323220363230202030303436
0822 620   ,    47,N        ,          ,0x3038323220363230202030303437
0822 620   ,    48,N        ,          ,0x3038323220363230202030303438
0822 620   ,    49,N        ,          ,0x3038323220363230202030303439
0822 620   ,    50,N        ,          ,0x3038323220363230202030303530
0822 620   ,    51,N        ,          ,0x3038323220363230202030303531
0822 620   ,    52,N        ,          ,0x3038323220363230202030303532
0822 620   ,    53,N        ,          ,0x3038323220363230202030303533
0822 620   ,    54,N        ,          ,0x3038323220363230202030303534
0822 620   ,    55,N        ,          ,0x3038323220363230202030303535
0822 620   ,    56,N        ,          ,0x3038323220363230202030303536
0822 665   ,     1,Y        ,0822 665  ,0x3038323220363635202030303031
0822 665   ,     2,N        ,          ,0x3038323220363635202030303032
0822 665   ,     3,N        ,          ,0x3038323220363635202030303033
0822 665   ,     4,N        ,          ,0x3038323220363635202030303034
0822 665   ,     5,N        ,          ,0x3038323220363635202030303035
0822 665   ,     6,N        ,          ,0x3038323220363635202030303036
0822 665   ,     7,N        ,          ,0x3038323220363635202030303037
0822 665   ,     8,N        ,          ,0x3038323220363635202030303038
0822 665   ,     9,N        ,          ,0x3038323220363635202030303039
0822 665   ,    10,N        ,          ,0x3038323220363635202030303130
0822 665   ,    11,N        ,          ,0x3038323220363635202030303131
0822 665   ,    12,Y        ,ADB 25 66 ,0x3038323220363635202030303132
0822 665   ,    13,Y        ,ADB 25 66 ,0x3038323220363635202030303133
0822 665   ,    14,N        ,          ,0x3038323220363635202030303134
0822 665   ,    15,N        ,          ,0x3038323220363635202030303135
0822 665   ,    16,N        ,          ,0x3038323220363635202030303136
0822 665   ,    17,N        ,          ,0x3038323220363635202030303137
0822 665   ,    18,Y        ,ADB       ,0x3038323220363635202030303138
0822 665   ,    19,Y        ,BASE      ,0x3038323220363635202030303139
0822 665   ,    20,N        ,          ,0x3038323220363635202030303230
0822 665   ,    21,N        ,          ,0x3038323220363635202030303231
0822 665   ,    22,N        ,          ,0x3038323220363635202030303232
0822 665   ,    23,N        ,          ,0x3038323220363635202030303233
0822 665   ,    24,N        ,          ,0x3038323220363635202030303234
0822 665   ,    25,N        ,          ,0x3038323220363635202030303235
0822 665   ,    26,N        ,          ,0x3038323220363635202030303236
0822 665   ,    27,N        ,          ,0x3038323220363635202030303237
0822 665   ,    28,N        ,          ,0x3038323220363635202030303238
0822 665   ,    29,N        ,          ,0x3038323220363635202030303239
0822 665   ,    30,N        ,          ,0x3038323220363635202030303330
0822 665   ,    31,N        ,          ,0x3038323220363635202030303331
0822 665   ,    32,N        ,          ,0x3038323220363635202030303332
0822 665   ,    33,N        ,          ,0x3038323220363635202030303333
0822 665   ,    34,N        ,          ,0x3038323220363635202030303334
0822 665   ,    35,N        ,          ,0x3038323220363635202030303335
0822 665   ,    36,N        ,          ,0x3038323220363635202030303336
0822 665   ,    37,N        ,          ,0x3038323220363635202030303337
0822 665   ,    38,N        ,          ,0x3038323220363635202030303338
0822 665   ,    39,N        ,          ,0x3038323220363635202030303339
0822 665   ,    40,N        ,          ,0x3038323220363635202030303430
0822 665   ,    41,N        ,          ,0x3038323220363635202030303431
0822 665   ,    42,N        ,          ,0x3038323220363635202030303432
0822 665   ,    43,N        ,          ,0x3038323220363635202030303433
0822 665   ,    44,N        ,          ,0x3038323220363635202030303434
0822 665   ,    45,N        ,          ,0x3038323220363635202030303435
0822 665   ,    46,N        ,          ,0x3038323220363635202030303436
0822 665   ,    47,N        ,          ,0x3038323220363635202030303437
0822 665   ,    48,N        ,          ,0x3038323220363635202030303438
0822 665   ,    49,N        ,          ,0x3038323220363635202030303439
0822 665   ,    50,N        ,          ,0x3038323220363635202030303530
0822 665   ,    51,N        ,          ,0x3038323220363635202030303531
0822 665   ,    52,N        ,          ,0x3038323220363635202030303532
0822 665   ,    53,N        ,          ,0x3038323220363635202030303533
0822 665   ,    54,N        ,          ,0x3038323220363635202030303534
0822 665   ,    55,N        ,          ,0x3038323220363635202030303535
0822 665   ,    56,N        ,          ,0x3038323220363635202030303536
0822 960   ,     1,Y        ,0822 960PO,0x3038323220393630202030303031
0822 960   ,     2,N        ,          ,0x3038323220393630202030303032
0822 960   ,     3,N        ,          ,0x3038323220393630202030303033
0822 960   ,     4,N        ,          ,0x3038323220393630202030303034
0822 960   ,     5,N        ,          ,0x3038323220393630202030303035
0822 960   ,     6,N        ,          ,0x3038323220393630202030303036
0822 960   ,     7,N        ,          ,0x3038323220393630202030303037
0822 960   ,     8,N        ,          ,0x3038323220393630202030303038
0822 960   ,     9,N        ,          ,0x3038323220393630202030303039
0822 960   ,    10,N        ,          ,0x3038323220393630202030303130
0822 960   ,    11,N        ,          ,0x3038323220393630202030303131
0822 960   ,    12,Y        ,ADB 25 5  ,0x3038323220393630202030303132
0822 960   ,    13,Y        ,ADB 25 5  ,0x3038323220393630202030303133
0822 960   ,    14,N        ,          ,0x3038323220393630202030303134
0822 960   ,    15,N        ,          ,0x3038323220393630202030303135
0822 960   ,    16,N        ,          ,0x3038323220393630202030303136
0822 960   ,    17,N        ,          ,0x3038323220393630202030303137
0822 960   ,    18,Y        ,ADB       ,0x3038323220393630202030303138
0822 960   ,    19,Y        ,BASE      ,0x3038323220393630202030303139
0822 960   ,    20,N        ,          ,0x3038323220393630202030303230
0822 960   ,    21,N        ,          ,0x3038323220393630202030303231
0822 960   ,    22,N        ,          ,0x3038323220393630202030303232
0822 960   ,    23,N        ,          ,0x3038323220393630202030303233
0822 960   ,    24,N        ,          ,0x3038323220393630202030303234
0822 960   ,    25,N        ,          ,0x3038323220393630202030303235
0822 960   ,    26,N        ,          ,0x3038323220393630202030303236
0822 960   ,    27,N        ,          ,0x3038323220393630202030303237
0822 960   ,    28,N        ,          ,0x3038323220393630202030303238
0822 960   ,    29,N        ,          ,0x3038323220393630202030303239
0822 960   ,    30,N        ,          ,0x3038323220393630202030303330
0822 960   ,    31,N        ,          ,0x3038323220393630202030303331
0822 960   ,    32,N        ,          ,0x3038323220393630202030303332
0822 960   ,    33,N        ,          ,0x3038323220393630202030303333
0822 960   ,    34,N        ,          ,0x3038323220393630202030303334
0822 960   ,    35,N        ,          ,0x3038323220393630202030303335
0822 960   ,    36,N        ,          ,0x3038323220393630202030303336
0822 960   ,    37,N        ,          ,0x3038323220393630202030303337
0822 960   ,    38,N        ,          ,0x3038323220393630202030303338
0822 960   ,    39,N        ,          ,0x3038323220393630202030303339
0822 960   ,    40,N        ,          ,0x3038323220393630202030303430
0822 960   ,    41,N        ,          ,0x3038323220393630202030303431
0822 960   ,    42,N        ,          ,0x3038323220393630202030303432
0822 960   ,    43,N        ,          ,0x3038323220393630202030303433
0822 960   ,    44,N        ,          ,0x3038323220393630202030303434
0822 960   ,    45,N        ,          ,0x3038323220393630202030303435
0822 960   ,    46,N        ,          ,0x3038323220393630202030303436
0822 960   ,    47,N        ,          ,0x3038323220393630202030303437
0822 960   ,    48,N        ,          ,0x3038323220393630202030303438
0822 960   ,    49,N        ,          ,0x3038323220393630202030303439
0822 960   ,    50,N        ,          ,0x3038323220393630202030303530
0822 960   ,    51,N        ,          ,0x3038323220393630202030303531
0822 960   ,    52,N        ,          ,0x3038323220393630202030303532
0822 960   ,    53,N        ,          ,0x3038323220393630202030303533
0822 960   ,    54,N        ,          ,0x3038323220393630202030303534
0822 960   ,    55,N        ,          ,0x3038323220393630202030303535
0822 960   ,    56,N        ,          ,0x3038323220393630202030303536
0822 960PO ,     1,Y        ,0822 960PO,0x3038323220393630504F30303031
0822 960PO ,     2,N        ,          ,0x3038323220393630504F30303032
0822 960PO ,     3,N        ,          ,0x3038323220393630504F30303033
0822 960PO ,     4,N        ,          ,0x3038323220393630504F30303034
0822 960PO ,     5,N        ,          ,0x3038323220393630504F30303035
0822 960PO ,     6,N        ,          ,0x3038323220393630504F30303036
0822 960PO ,     7,N        ,          ,0x3038323220393630504F30303037
0822 960PO ,     8,N        ,          ,0x3038323220393630504F30303038
0822 960PO ,     9,N        ,          ,0x3038323220393630504F30303039
0822 960PO ,    10,N        ,          ,0x3038323220393630504F30303130
0822 960PO ,    11,N        ,          ,0x3038323220393630504F30303131
0822 960PO ,    12,Y        ,ADB 25 65 ,0x3038323220393630504F30303132
0822 960PO ,    13,Y        ,ADB 25 65 ,0x3038323220393630504F30303133
0822 960PO ,    14,N        ,          ,0x3038323220393630504F30303134
0822 960PO ,    15,N        ,          ,0x3038323220393630504F30303135
0822 960PO ,    16,N        ,          ,0x3038323220393630504F30303136
0822 960PO ,    17,N        ,          ,0x3038323220393630504F30303137
0822 960PO ,    18,Y        ,ADB       ,0x3038323220393630504F30303138
0822 960PO ,    19,Y        ,BASE      ,0x3038323220393630504F30303139
0822 960PO ,    20,N        ,          ,0x3038323220393630504F30303230
0822 960PO ,    21,N        ,          ,0x3038323220393630504F30303231
0822 960PO ,    22,N        ,          ,0x3038323220393630504F30303232
0822 960PO ,    23,N        ,          ,0x3038323220393630504F30303233
0822 960PO ,    24,N        ,          ,0x3038323220393630504F30303234
0822 960PO ,    25,N        ,          ,0x3038323220393630504F30303235
0822 960PO ,    26,N        ,          ,0x3038323220393630504F30303236
0822 960PO ,    27,N        ,          ,0x3038323220393630504F30303237
0822 960PO ,    28,N        ,          ,0x3038323220393630504F30303238
0822 960PO ,    29,N        ,          ,0x3038323220393630504F30303239
0822 960PO ,    30,N        ,          ,0x3038323220393630504F30303330
0822 960PO ,    31,N        ,          ,0x3038323220393630504F30303331
0822 960PO ,    32,N        ,          ,0x3038323220393630504F30303332
0822 960PO ,    33,N        ,          ,0x3038323220393630504F30303333
0822 960PO ,    34,N        ,          ,0x3038323220393630504F30303334
0822 960PO ,    35,N        ,          ,0x3038323220393630504F30303335
0822 960PO ,    36,N        ,          ,0x3038323220393630504F30303336
0822 960PO ,    37,N        ,          ,0x3038323220393630504F30303337
0822 960PO ,    38,N        ,          ,0x3038323220393630504F30303338
0822 960PO ,    39,N        ,          ,0x3038323220393630504F30303339
0822 960PO ,    40,N        ,          ,0x3038323220393630504F30303430
0822 960PO ,    41,N        ,          ,0x3038323220393630504F30303431
0822 960PO ,    42,N        ,          ,0x3038323220393630504F30303432
0822 960PO ,    43,N        ,          ,0x3038323220393630504F30303433
0822 960PO ,    44,N        ,          ,0x3038323220393630504F30303434
0822 960PO ,    45,N        ,          ,0x3038323220393630504F30303435
0822 960PO ,    46,N        ,          ,0x3038323220393630504F30303436
0822 960PO ,    47,N        ,          ,0x3038323220393630504F30303437
0822 960PO ,    48,N        ,          ,0x3038323220393630504F30303438
0822 960PO ,    49,N        ,          ,0x3038323220393630504F30303439
0822 960PO ,    50,N        ,          ,0x3038323220393630504F30303530
0822 960PO ,    51,N        ,          ,0x3038323220393630504F30303531
