COVERAGE_ID,STATUS_CODE,DESCRIPTION                             ,COMPANY_CODE,VAL_CODE  ,POLICY_FORM_NUM,TAX_QUAL_RULES,MULT_INSUREDS_FLAG,PERS_OF_RESIDENCE,PREM_TAX_LOAD_FLAG,ALLCTD_COVRG_FLAG,EXHIBIT_PAR_NONPAR,EXHIBIT_CODE,NET_COMMISSIONS,POLICY_BASIS,SEX_BASIS,PRIMARY_PERSON,POLICY_FEE,AGE_BASIS,COVERAGE_TYPE_FLAG,INT_CR_RULE,MOD_CODER,MOD_DATE   ,MOD_TIME   ,NUM_OF_SEGMENTS,OWNER_ANNUIT_DEATH,BC_PRIOR_TO_PTD,OLAB_RULES_FLAG,PAY_UP_DT_EQ_ISS,AUTOREVR_URT_FLAG,ALLOW_EARLY_PAD_UP,TRANSACTION_LOG,ALL_PREM_DEP_INCOM,SKIPPED_PAYMENTS,SKIP_ADV_DAYS,ELDEST_OWNR_ANNTNT,PREM_RESTRICT_DUR,CREATE_ACTG_PRM_TX,EDIT_REG_REP_BD,MIN_ISSUE_AGE,MAX_ISSUE_AGE,VALUE_TYPE,REPORTING_NUMBER,COLL_ADVANCE_PTD,GLOBAL_TAX_FLAG,STATE_FUND_TAX,NUM_MULT_INS_ALLWD,MODAL_ANNIV_FLAG,MDV_MATURE_EXPIRE,PERCENT_OF_BASE,MAX_ISSUE_AS_RIDER,PLAN_TYPE,PRODUCT_TYPE,TAX_QUAL_CODE,PAR,PAR_OYT_ID,PAR_PUA_ID,MAX_RENEWAL_AGE,NUM_OF_RENEWALS,PREM_CEASE_TYPE,PREM_CEASE_POINT,MIN_PREM_PAY_DUR,BENEFIT_CEASE_TYPE,BEN_CEASE_POINT,MIN_BENEFIT_DUR,MAX_BENEFIT_AGE,VALUE_OF_BEN_UNIT,ANN_GUAR_RATE,TAX_NQ_ANN_DC_FLAG,TAX_Q_ANN_DC_FLAG,AGGREGATE_GAIN,ANNL_STMT_GEN_CODE,ANNUAL_STMT_CODE,ANNUAL_STMT_RATE,ANNL_STMT_GUAR_PRD,GUIDELINE_APPLY,TAMRA_APPLY_FLAG,TAMRA_TREATMENT,GUAR_BEN_MIN_DD_AG,GUAR_BEN_MIN_DD_DR,DESIGNATED_ROTH,PROCESS_CYCLE_FLAG,PREM_TO_TAX_BASIS,PREM_CALCS_SYSTEM,PROJECTIONS_SYSTEM,LOANS_AVAILABLE,VAR_LOAN,LOAN_ADV_ARREARS,EXPANSION_FLG,CONTINUE_FLG,COVR_UPD_COUNT,COVR_KEY0             ,ROW_COLUMN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
-----------,-----------,----------------------------------------,------------,----------,---------------,--------------,------------------,-----------------,------------------,-----------------,------------------,------------,---------------,------------,---------,--------------,----------,---------,------------------,-----------,---------,-----------,-----------,---------------,------------------,---------------,---------------,----------------,-----------------,------------------,---------------,------------------,----------------,-------------,------------------,-----------------,------------------,---------------,-------------,-------------,----------,----------------,----------------,---------------,--------------,------------------,----------------,-----------------,---------------,------------------,---------,------------,-------------,---,----------,----------,---------------,---------------,---------------,----------------,----------------,------------------,---------------,---------------,---------------,-----------------,-------------,------------------,-----------------,--------------,------------------,----------------,----------------,------------------,---------------,----------------,---------------,------------------,------------------,---------------,------------------,-----------------,-----------------,------------------,---------------,--------,----------------,-------------,------------,--------------,----------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0822 620   ,A          ,Accidental Death Benefit                ,03          ,          ,0822           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    9100149,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           15,           55,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              65,               1,A                 ,             65,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383232203632302020,0x30383232203632302020414163636964656E74616C2044656174682042656E6566697420202020202020202020202020202020303320202020202020202020303832322020202020204E4E204E4E5053555059524249000000003020434B415231C18D320175DB8A0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E015F055F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000055F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41065F001F41065F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E3059303832322036323020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422020202020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0822 665   ,A          ,Accidental Death Benefit                ,03          ,          ,0822           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    9102117,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           15,           50,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              65,               1,A                 ,             65,              1,             65,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383232203636352020,0x30383232203636352020414163636964656E74616C2044656174682042656E6566697420202020202020202020202020202020303320202020202020202020303832322020202020204E4E204E4E5053555059524249000000003020434B415231C18D320125E38A0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E015F050F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000001F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41065F001F41065F001F065F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E3059303832322036363520204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422032352036362059414442203235203636204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422020202020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0822 960   ,A          ,Accidental Death Benefit                ,03          ,          ,0822           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    9103195,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,            0,           65,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              65,               1,A                 ,             65,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383232203936302020,0x30383232203936302020414163636964656E74616C2044656174682042656E6566697420202020202020202020202020202020303320202020202020202020303832322020202020204E4E204E4E5053555059524249000000003020434B415231C18D32015BE78A0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F065F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000055F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41065F001F41065F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E30593038323220393630504F4E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422032352035202059414442203235203520204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422020202020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0822 960PO ,A          ,Accidental Death Benefit                ,03          ,          ,0822           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    9104312,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           15,           55,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              65,               1,A                 ,             65,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x3038323220393630504F,0x3038323220393630504F414163636964656E74616C2044656174682042656E6566697420202020202020202020202020202020303320202020202020202020303832322020202020204E4E204E4E5053555059524249000000003020434B415231C18D3201B8EB8A0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E015F055F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000055F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41065F001F41065F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E30593038323220393630504F4E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422032352036352059414442203235203635204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594144422020202020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0823 665   ,A          ,Waiver of Premium                       ,03          ,          ,0823           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    8353742,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           15,           50,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,10          ,N            ,X  ,          ,          ,             99,             99,A              ,              60,               1,A                 ,             60,              1,             60,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383233203636352020,0x3038323320363635202041576169766572206F66205072656D69756D2020202020202020202020202020202020202020202020303320202020202020202020303832332020202020204E4E204E4E5053555059524249000000003020434B415231C18D3201CE777F0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E015F050F5520202020204E000000004E4E010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000050F000F000F000F000F000F000F000000000F4C31304E582020202020202020202020202020202020202020099F099F41060F001F41060F001F060F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E3059303832332036363520204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595A45524F2020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595750204144203032202059575020414420303220204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C49464520575020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0823 896   ,A          ,Waiver of Premium                       ,03          ,          ,0823           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    8361019,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           15,           50,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,10          ,N            ,X  ,          ,          ,             99,             99,A              ,              60,               1,A                 ,             60,              1,             60,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383233203839362020,0x3038323320383936202041576169766572206F66205072656D69756D2020202020202020202020202020202020202020202020303320202020202020202020303832332020202020204E4E204E4E5053555059524249000000003020434B415231C18D32013B947F0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E015F050F5520202020204E000000004E4E010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000050F000F000F000F000F000F000F000000000F4C31304E582020202020202020202020202020202020202020099F099F41060F001F41060F001F060F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E304E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595A45524F2020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595750204144203032202059575020414420303220204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C49464520575020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0823 96085 ,A          ,Waiver of Premium - LPU at 85/88        ,03          ,          ,0823           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    8364455,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           15,           55,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              60,               1,A                 ,             60,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383233203936303835,0x3038323320393630383541576169766572206F66205072656D69756D202D204C50552061742038352F38382020202020202020303320202020202020202020303832332020202020204E4E204E4E5053555059524249000000003020434B415231C18D3201A7A17F0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E015F055F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000055F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41060F001F41060F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E3059303832332039363038354E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595A45524F2020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595750414430363120322059575041443036312032204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C49464520575020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0823 960CH ,A          ,Waiver of Premium - Child               ,03          ,          ,0823           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    8370145,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,            0,           17,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              60,               1,A                 ,             60,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383233203936304348,0x3038323320393630434841576169766572206F66205072656D69756D202D204368696C64202020202020202020202020202020303320202020202020202020303832332020202020204E4E204E4E5053555059524249000000003020434B415231C18D3201E1B77F0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F017F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000017F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41060F001F41060F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E3059303832332039363043484E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595A45524F2020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595750414430363120322059575041443036312032204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C49464520575020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
0823 960LP ,A          ,Waiver of Premium                       ,03          ,          ,0823           ,N             ,N                 ,                 ,N                 ,N                ,P                 ,SUP         ,Y              ,R           ,B        ,I             ,       .00,0        ,                  ,C          ,KAR1     ,   20090305,    8371655,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,            0,           55,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              60,               1,A                 ,             60,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x30383233203936304C50,0x30383233203936304C5041576169766572206F66205072656D69756D2020202020202020202020202020202020202020202020303320202020202020202020303832332020202020204E4E204E4E5053555059524249000000003020434B415231C18D3201C7BD7F0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F055F5520202020204E000000004E4E010000000000000000000000000000000000000000000000C80000000000000000000000000000000000000000000000055F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41060F001F41060F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E305930383233203936304C504E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595A45524F2020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020595750414430363120312059575041443036312031204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C49464520575020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
