component,target_field,source_table,source_key_field,rulebook,engine_path,authority_layer,p3c_closed_authority_applied,consumes_quikplan_output,independent_plan_derivation,quikridr_compat_emit_rows
quikplan,PLAN,quikplan_source,COVERAGE_ID,Sync_Rulebook_quikplan.csv,qla_core/quikplan_converter.py + product_catalog_authority + crosswalk_enrichment,P3C closed catalog + optional UAT overlay,YES,NO,NO,
quikridr,MPLAN,PPBEN,PLAN_CODE,Sync_Rulebook_quikridr.csv,app.py process_data generic loop (~3960),Flat Master_Crosswalk.csv only,NO,NO,YES,
quikmstr,N/A,PPBEN/PPOL,POLICY_NUMBER,Sync_Rulebook_quikmstr.csv,app.py process_data,Policy-number crosswalk only,NO,NO,NO,
quikactg,MPLAN,PACTG,PLAN_CODE,Sync_Rulebook_quikactg.csv,app.py process_data generic loop,Flat Master_Crosswalk.csv only,NO,NO,YES,
product_setup_runner,PLAN,quikplan_source,COVERAGE_ID,Sync_Rulebook_quikplan.csv,product_setup_runner.py + closed authority,P3C closed catalog default with UAT overlay,YES,NO,NO,
batch_quikplan,PLAN,quikplan_source,COVERAGE_ID,Sync_Rulebook_quikplan.csv,app.py convert_quikplan_to_output,CrosswalkAuthority unless CROSSWALK_OVERLAY=1,PARTIAL,NO,NO,
governance,ORPHAN_MPLAN,quikridr,MPLAN,product_setup_governance_engine.py,WARN only — compares ridr MPLAN to staged quikplan,Diagnostic — no batch enforcement,N/A,YES,NO,
claims,MPOLICY,quikmstr,MPOLICY,Sync_Rulebook_quikclms/quikclmp,app.py Phase 20 MPOLICY validation,No MPLAN/PLAN dependency,N/A,NO,NO,
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/0823 960CH,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=0823 960CH auth=960CWP,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/0824 P DIS,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=0824 P DIS auth=94PDIS,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/10827 MN5K,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=10827 MN5K auth=1CSIMN,quikplan YES / quikridr NO,NO,YES,3.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/1578 SPSPU,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=1578 SPSPU auth=578STR,quikplan YES / quikridr NO,NO,YES,4.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/1579 GPO,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=1579 GPO auth=9GPO79,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/1596 667,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=1596 667 auth=967ADB,quikplan YES / quikridr NO,NO,YES,8.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/619 CH PU,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=619 CH PU auth=719CTR,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/621 PUA,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=621 PUA auth=121PUA,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/630 JEB,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=630 JEB auth=130JEB,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/646 ART,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=646 ART auth=5646AT,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/667 ART CR,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=667 ART CR auth=57ATCR,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/669 SR GD,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=669 SR GD auth=1669SR,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/686S 30MRG,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=686S 30MRG auth=7686S3,quikplan YES / quikridr NO,NO,YES,3.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/687J 30MRG,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=687J 30MRG auth=7687J3,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/690 DT 65,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=690 DT 65 auth=7690DT,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/8034 30MRG,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=8034 30MRG auth=934SWP,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/8034 J30MT,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=8034 J30MT auth=934JWP,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/8043CTR WP,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=8043CTR WP auth=943CWP,quikplan YES / quikridr NO,NO,YES,6.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/8046 JPO,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=8046 JPO auth=9JPO46,quikplan YES / quikridr NO,NO,YES,10.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/961 ME65,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=961 ME65 auth=2961ME,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/961 PUA,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=961 PUA auth=261PUA,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/970 JEB,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=970 JEB auth=1970JB,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/970 PUA,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=970 PUA auth=1970PA,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/DISCHO2475,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=9DIS25 auth=9DIS24,quikplan YES / quikridr NO,NO,YES,34.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/DISCHO247B,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=DISCHO247B auth=9DS24B,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/DISCHO247C,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=9DIS25 auth=9DS24C,quikplan YES / quikridr NO,NO,YES,34.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/DISCHO29,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=DISCHO29 auth=9DIS29,quikplan YES / quikridr NO,NO,YES,2.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/L01 10Y MA,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=L01 10Y MA auth=5L01MA,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/L10 PRE97,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=L10 PRE97 auth=1L10OD,quikplan YES / quikridr NO,NO,YES,143.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/L10 PREUNI,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=L10 PREUNI auth=1L10PR,quikplan YES / quikridr NO,NO,YES,1.0
crosswalk_divergence,MPLAN/PLAN,PPBEN/quikplan_source,PLAN_CODE/L10 SPSWP,Master_Crosswalk + product_catalog_crosswalk,quikridr uses compat via passthrough; quikplan P3C uses auth,compat=L10 SPSWP auth=910SWP,quikplan YES / quikridr NO,NO,YES,2.0
