K10,K25,K50,K100,K250,K500,WOP,Age
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,15
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,16
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,17
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,18
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,19
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,20
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,21
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,22
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,23
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,24
4.25,2.609999895,2.089999914,1.809999943,1.679999948,1.600000024,0.200000003,25
4.260000229,2.640000105,2.119999886,1.850000024,1.710000038,1.629999995,0.2099999934,26
4.269999981,2.660000086,2.150000095,1.879999995,1.75,1.669999957,0.2099999934,27
4.28000021,2.690000057,2.180000067,1.919999957,1.789999962,1.700000048,0.2199999988,28
4.289999962,2.720000029,2.220000029,1.950000048,1.830000043,1.74000001,0.2199999988,29
4.300000191,2.75,2.25999999,2,1.870000005,1.779999971,0.2300000042,30
4.309999943,2.779999971,2.299999952,2.039999962,1.919999957,1.830000043,0.2399999946,31
4.329999924,2.819999933,2.349999905,2.089999914,1.970000029,1.879999995,0.25,32
4.349999905,2.869999886,2.400000095,2.150000095,2.029999971,1.940000057,0.2599999905,33
4.380000114,2.930000067,2.470000029,2.220000029,2.099999905,2.00999999,0.2800000012,34
4.429999828,3,2.549999952,2.299999952,2.190000057,2.089999914,0.2899999917,35
4.480000019,3.089999914,2.640000105,2.400000095,2.289999962,2.180000067,0.3100000024,36
4.559999943,3.190000057,2.75,2.50999999,2.400000095,2.289999962,0.3300000131,37
4.650000095,3.309999943,2.869999886,2.640000105,2.529999971,2.410000086,0.3600000143,38
4.769999981,3.450000048,3.00999999,2.779999971,2.670000076,2.549999952,0.3899999857,39
4.929999828,3.609999895,3.180000067,2.950000048,2.849999905,2.720000029,0.4199999869,40
5.119999886,3.809999943,3.380000114,3.160000086,3.059999943,2.920000076,0.4600000083,41
5.349999905,4.050000191,3.619999886,3.400000095,3.299999952,3.150000095,0.5,42
5.619999886,4.320000172,3.900000095,3.680000067,3.579999924,3.420000076,0.5500000119,43
5.940000057,4.639999866,4.210000038,3.99000001,3.900000095,3.730000019,0.6100000143,44
6.289999962,4.989999771,4.570000172,4.349999905,4.260000229,4.079999924,0.6700000167,45
6.699999809,5.400000095,4.980000019,4.760000229,4.659999847,4.46999979,0.75,46
7.139999866,5.840000153,5.420000076,5.199999809,5.110000134,4.909999847,0.8500000238,47
7.639999866,6.340000153,5.920000076,5.699999809,5.610000134,5.389999866,0.9700000286,48
8.18999958,6.889999866,6.46999979,6.25,6.159999847,5.929999828,1.120000005,49
8.779999733,7.480000019,7.059999943,6.840000153,6.75,6.510000229,1.279999971,50
9.430000305,8.130000114,7.710000038,7.489999771,7.400000095,7.130000114,1.450000048,51
10.13000011,8.829999924,8.409999847,8.18999958,8.109999657,7.820000172,1.639999986,52
10.89999962,9.600000381,9.180000305,8.960000038,8.869999886,8.56000042,1.870000005,53
11.73999977,10.43999958,10.02000046,9.800000191,9.710000038,9.380000114,2.160000086,54
12.67000008,11.36999989,10.94999981,10.72999954,10.64000034,10.27000046,2.700000048,55
13.15999985,11.85999966,11.43999958,11.22000027,11.13000011,10.75,2.890000105,56
13.67000008,12.36999989,11.94999981,11.72999954,11.64000034,11.25,2.849999905,57
14.22000027,12.92000008,12.5,12.27999973,12.18999958,11.77000046,2.670000076,58
14.78999996,13.48999977,13.06999969,12.85000038,12.76000023,12.31999969,2.329999924,59
15.38000011,14.07999992,13.65999985,13.43999958,13.35000038,12.89999962,1.799999952,60
16.02000046,14.72000027,14.30000019,14.07999992,13.98999977,13.51000023,1.799999952,61
16.68000031,15.38000011,14.96000004,14.73999977,14.64999962,14.14999962,1.799999952,62
17.38999939,16.09000015,15.67000008,15.44999981,15.35999966,14.84000015,1.799999952,63
18.13999939,16.84000015,16.42000008,16.20000076,16.11000061,15.56999969,1.799999952,64
