K10,K25,K50,K100,K250,K500,WOP,Age
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,15
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,16
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,17
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,18
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,19
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,20
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,21
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,22
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,23
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,24
4.230000019,2.549999952,2.019999981,1.74000001,1.600000024,1.519999981,0.200000003,25
4.239999771,2.579999924,2.059999943,1.779999971,1.639999986,1.559999943,0.2099999934,26
4.25,2.619999886,2.089999914,1.809999943,1.669999957,1.590000033,0.2099999934,27
4.260000229,2.640000105,2.119999886,1.840000033,1.710000038,1.629999995,0.2199999988,28
4.269999981,2.670000076,2.150000095,1.879999995,1.74000001,1.659999967,0.2199999988,29
4.28000021,2.680000067,2.180000067,1.899999976,1.769999981,1.690000057,0.2300000042,30
4.289999962,2.700000048,2.200000048,1.929999948,1.799999952,1.720000029,0.2399999946,31
4.300000191,2.720000029,2.230000019,1.970000029,1.840000033,1.75999999,0.25,32
4.309999943,2.75,2.25999999,2.00999999,1.879999995,1.799999952,0.2599999905,33
4.320000172,2.779999971,2.309999943,2.049999952,1.929999948,1.840000033,0.2800000012,34
4.329999924,2.829999924,2.359999895,2.109999895,1.99000001,1.899999976,0.2899999917,35
4.349999905,2.880000114,2.430000067,2.180000067,2.059999943,1.970000029,0.3100000024,36
4.369999886,2.950000048,2.5,2.25999999,2.140000105,2.039999962,0.3300000131,37
4.409999847,3.029999971,2.589999914,2.339999914,2.230000019,2.119999886,0.3600000143,38
4.46999979,3.119999886,2.680000067,2.440000057,2.319999933,2.220000029,0.3899999857,39
4.550000191,3.220000029,2.779999971,2.549999952,2.440000057,2.319999933,0.4199999869,40
4.659999847,3.339999914,2.910000086,2.680000067,2.569999933,2.450000048,0.4600000083,41
4.800000191,3.49000001,3.059999943,2.829999924,2.730000019,2.599999905,0.5,42
4.960000038,3.660000086,3.24000001,3.00999999,2.910000086,2.779999971,0.5500000119,43
5.170000076,3.869999886,3.440000057,3.220000029,3.119999886,2.980000019,0.6100000143,44
5.409999847,4.110000134,3.690000057,3.470000029,3.380000114,3.230000019,0.6700000167,45
5.710000038,4.409999847,3.99000001,3.769999981,3.680000067,3.519999981,0.75,46
6.059999943,4.760000229,4.340000153,4.119999886,4.03000021,3.859999895,0.8500000238,47
6.46999979,5.170000076,4.75,4.53000021,4.429999828,4.25,0.9700000286,48
6.920000076,5.619999886,5.199999809,5.980000019,4.889999866,4.690000057,1.120000005,49
7.409999847,6.110000134,5.690000057,5.46999979,5.380000114,5.170000076,1.279999971,50
7.949999809,6.650000095,6.230000019,6.010000229,5.920000076,5.690000057,1.450000048,51
8.520000458,7.21999979,6.800000191,6.579999924,6.489999771,6.25,1.639999986,52
9.140000343,7.840000153,7.420000076,7.199999809,7.110000134,6.849999905,1.870000005,53
9.180000305,8.510000229,8.090000153,7.869999886,7.78000021,7.510000229,2.160000086,54
10.52999973,9.229999542,8.81000042,8.590000153,8.5,8.220000267,2.700000048,55
11.31999969,10.02000046,9.600000381,9.380000114,9.289999962,8.979999542,2.890000105,56
12.18999958,10.89000034,10.47000027,10.25,10.15999985,9.819999695,2.849999905,57
13.14999962,11.85000038,11.43000031,11.21000004,11.11999989,10.73999977,2.670000076,58
14.21000004,12.90999985,12.48999977,12.27000046,12.18000031,11.76000023,2.329999924,59
15.38000011,14.07999992,13.65999985,13.43999958,13.35000038,12.89999962,1.799999952,60
16.02000046,14.72000027,14.30000019,14.07999992,13.98999977,13.51000023,1.799999952,61
16.68000031,15.38000011,14.96000004,14.73999977,14.64999962,14.14999962,1.799999952,62
17.38999939,16.09000015,15.67000008,15.44999981,15.35999966,14.84000015,1.799999952,63
18.13999939,16.84000015,16.42000008,16.20000076,16.11000061,15.56999969,1.799999952,64
