RateUnder100K,RateOver100K,CashValueIn10,CashValueIn20,CashValueAt65,PaidUpIn10,PaidUpIn20,PaidUpAt65,WOP,Age,Sex,Smoker
5.289999962,4.570000172,19,73,372,207,514,889,0,18,Female,No
6.539999962,5.360000134,26,89,400,232,532,886,0,18,Female,Yes
6.170000076,5.389999866,21,84,433,197,514,898,0,18,Male,No
8.329999924,7.039999962,32,115,491,225,536,896,0,18,Male,Yes
5.480000019,4.75,21,77,371,215,520,885,0,19,Female,No
6.769999981,5.579999924,28,94,398,239,537,881,0,19,Female,Yes
6.369999886,5.579999924,24,90,431,208,523,894,0,19,Male,No
8.600000381,7.289999962,35,121,489,235,545,893,0,19,Male,Yes
5.690000057,4.940000057,23,82,369,223,526,880,0.05000000075,20,Female,No
7.019999981,5.809999943,30,99,396,245,542,876,0.05000000075,20,Female,Yes
6.599999905,5.789999962,26,96,429,220,532,891,0.03999999911,20,Male,No
8.890000343,7.559999943,38,128,487,246,553,889,0.03999999911,20,Male,Yes
5.900000095,5.139999866,24,86,367,230,532,876,0.05000000075,21,Female,No
7.269999981,6.050000191,32,104,394,252,547,871,0.05000000075,21,Female,Yes
6.820000172,6,28,101,427,231,541,887,0.03999999911,21,Male,No
9.199999809,7.849999905,41,136,485,256,561,885,0.03999999911,21,Male,Yes
6.119999886,5.349999905,26,91,365,237,538,871,0.05000000075,22,Female,No
7.539999962,6.300000191,34,109,391,258,551,866,0.05000000075,22,Female,Yes
7.070000172,6.230000019,31,107,425,242,550,883,0.03999999911,22,Male,No
9.520000458,8.149999619,44,143,482,267,569,881,0.03999999911,22,Male,Yes
6.360000134,5.570000172,28,95,363,244,543,865,0.05000000075,23,Female,No
7.829999924,6.570000172,36,114,389,264,554,860,0.05000000075,23,Female,Yes
7.320000172,6.46999979,34,114,423,252,557,878,0.03999999911,23,Male,No
9.859999657,8.470000267,48,151,480,277,576,876,0.03999999911,23,Male,Yes
6.610000134,5.800000191,30,100,360,251,548,860,0.05000000075,24,Female,No
8.130000114,6.849999905,39,119,386,270,558,854,0.05000000075,24,Female,Yes
7.599999905,6.730000019,36,120,421,262,565,874,0.03999999911,24,Male,No
10.23999977,8.819999695,52,159,477,286,582,871,0.03999999911,24,Male,Yes
6.869999886,6.050000191,32,106,358,258,553,854,0.05000000075,25,Female,No
8.43999958,7.139999866,41,125,383,275,561,848,0.05000000075,25,Female,Yes
7.900000095,7.010000229,39,127,419,271,571,869,0.03999999911,25,Male,No
10.63000011,9.18999958,56,166,474,294,587,866,0.03999999911,25,Male,Yes
7.139999866,6.300000191,35,111,355,264,557,848,0.05999999866,26,Female,No
8.770000458,7.449999809,44,130,380,280,563,841,0.05999999866,26,Female,Yes
8.210000038,7.300000191,42,134,416,279,578,863,0.05000000075,26,Male,No
11.05000019,9.579999924,59,174,471,301,592,860,0.05000000075,26,Male,Yes
7.429999828,6.570000172,37,116,353,270,561,841,0.05999999866,27,Female,No
9.119999886,7.78000021,46,136,377,285,566,834,0.05999999866,27,Female,Yes
8.550000191,7.619999886,45,141,413,286,583,857,0.05000000075,27,Male,No
11.51000023,10.01000023,63,182,467,308,596,853,0.05000000075,27,Male,Yes
7.739999771,6.860000134,39,122,350,276,566,834,0.05999999866,28,Female,No
9.489999771,8.119999886,49,142,373,290,568,826,0.05999999866,28,Female,Yes
8.909999847,7.949999809,48,149,410,293,589,851,0.05000000075,28,Male,No
11.98999977,10.46000004,67,191,464,314,600,847,0.05000000075,28,Male,Yes
8.06000042,7.159999847,42,128,347,281,570,827,0.05999999866,29,Female,No
9.869999886,8.479999542,52,148,370,294,570,818,0.05999999866,29,Female,Yes
