SOURCE_POLICY,REASON
9010408371,no_account_or_aba
9010772298,no_account_or_aba
9010785310,no_account_or_aba
9010827081,no_account_or_aba
9010847481,no_account_or_aba
9010936709,no_account_or_aba
9011017289,no_account_or_aba
9011047403,no_account_or_aba
9011064372,no_account_or_aba
9011090462,no_account_or_aba
9011090463,no_account_or_aba
9011090464,no_account_or_aba
9011192032,no_account_or_aba
9011210337,no_account_or_aba
9015000043,no_account_or_aba
9015000078,no_account_or_aba
9015000080,no_account_or_aba
9015000117,no_account_or_aba
9015000138,no_account_or_aba
9015000148,no_account_or_aba
