PLAN,surface,field,before,after
1960PO,QuikPlCv,MORT,P1,O1
1960PO,QuikPlCv,ETIMORT,R1,Q1
1960PO,QuikPlCv,NFOINT,,6
1960PO,QuikPlCv,INTMETHCV,0,0
1960PO,QuikPlTv,MORT,P1,O1
1960PO,QuikPlTv,RSVINT,,6
1960PO,QuikPlTv,RSVMETH,,3
1960PO,QuikPlTv,INTMETHTV,,0
1960PO,QuikPlTv,STOREMEANS,,False
1960PO,QuikPlTv,CALCMIDS,,False
1960PO,quikplan,NFOINT,,6
1960PO,quikplan,INTMETHCV,0,0
1658C1,QuikPlCv,MORT,A1,A1
1658C1,QuikPlCv,ETIMORT,C1,C1
1658C1,QuikPlCv,NFOINT,A,A
1658C1,QuikPlCv,INTMETHCV,0,0
1658C1,QuikPlTv,MORT,A1,A1
1658C1,QuikPlTv,RSVINT,,A
1658C1,QuikPlTv,RSVMETH,,3
1658C1,QuikPlTv,INTMETHTV,,0
1658C1,QuikPlTv,STOREMEANS,,False
1658C1,QuikPlTv,CALCMIDS,,False
1658C1,quikplan,NFOINT,A,A
1658C1,quikplan,INTMETHCV,0,0
17CSI3,QuikPlCv,MORT,B1,A1
17CSI3,QuikPlCv,ETIMORT,D1,C1
17CSI3,QuikPlCv,NFOINT,F,A
17CSI3,QuikPlCv,INTMETHCV,0,0
17CSI3,QuikPlTv,MORT,B1,A1
17CSI3,QuikPlTv,RSVINT,,A
17CSI3,QuikPlTv,RSVMETH,,3
17CSI3,QuikPlTv,INTMETHTV,,0
17CSI3,QuikPlTv,STOREMEANS,,False
17CSI3,QuikPlTv,CALCMIDS,,False
17CSI3,quikplan,NFOINT,F,A
17CSI3,quikplan,INTMETHCV,0,0
1L1095,QuikPlCv,MORT,A1,A1
1L1095,QuikPlCv,ETIMORT,C1,C1
1L1095,QuikPlCv,NFOINT,C,A
1L1095,QuikPlCv,INTMETHCV,0,0
1L1095,QuikPlTv,MORT,A1,A1
1L1095,QuikPlTv,RSVINT,,A
1L1095,QuikPlTv,RSVMETH,,3
1L1095,QuikPlTv,INTMETHTV,,0
1L1095,QuikPlTv,STOREMEANS,,False
1L1095,QuikPlTv,CALCMIDS,,False
1L1095,quikplan,NFOINT,C,A
1L1095,quikplan,INTMETHCV,0,0
221END,QuikPlCv,MORT,N1,N1
221END,QuikPlCv,ETIMORT,,N1
221END,QuikPlCv,NFOINT,2,2
221END,QuikPlCv,INTMETHCV,0,0
221END,QuikPlTv,MORT,N1,N1
221END,QuikPlTv,RSVINT,,2
221END,QuikPlTv,RSVMETH,,3
221END,QuikPlTv,INTMETHTV,,0
221END,QuikPlTv,STOREMEANS,,False
221END,QuikPlTv,CALCMIDS,,False
221END,quikplan,NFOINT,2,2
221END,quikplan,INTMETHCV,0,0
1668SP,QuikPlCv,MORT,B4,A1
1668SP,QuikPlCv,ETIMORT,,C1
1668SP,QuikPlCv,NFOINT,G,E
1668SP,QuikPlCv,INTMETHCV,0,0
1668SP,QuikPlTv,MORT,A1,A1
1668SP,QuikPlTv,RSVINT,,E
1668SP,QuikPlTv,RSVMETH,,1
1668SP,QuikPlTv,INTMETHTV,,0
1668SP,QuikPlTv,STOREMEANS,,False
1668SP,QuikPlTv,CALCMIDS,,False
1668SP,quikplan,NFOINT,G,E
1668SP,quikplan,INTMETHCV,0,0
