lifepro_plan,qla_plan,description,quikplcv_mort,quikplcv_etimort,quikplcv_nfoint,quikplcv_intmethcv,quikpltv_all5_raw,parse_rsv_int,parse_rsv_mthd,parse_intmeth,parse_store_means,parse_calc_mids,has_missing_token
10827 CSI3,17CSI3,CSI Life $3000,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
10827 CSI5,17CSI5,CSI Life $5000,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
10827 CSI7,17CSI7,CSI Life $7500,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
10827 MN5K,1CSIMN,CSI Life MN $5000,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
619 DT,7619DT,Decreasing Term,A1,,,Curtate,"Rsv Int: 5.00%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.00%,NLP,Curtate,Default (Terminal),Default (Mean),N
621 END85,221END,Endowment at Age 85,N1,1941 CET 2.5% NLP,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
621 PUA,121PUA,,N1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
622 END85,222END,20 Pay Endowment at Age 85,N1,1941 CET 2.5% NLP,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
622 PUA,,,N1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
646 ART,5646AT,Annual Renewable Term,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
647 FLP,7647FP,Family Life Decreasing Term,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Missing: Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),Y
658 CEN I,1658C1,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
658 CEN SD,1658CS,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
659 CEN II,1659C2,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
659 CEN SD,1659CS,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
659 CEN SR,1659CR,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
659 SR GD,1659SR,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
665 PUA,265PUA,,O1,,,Curtate,"Rsv Int: 3.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
