table,PLAN,FIELD,BEFORE,AFTER,GENDER,UWCLASS
QuikPlCv,1658C1,MORT,B4,A1,F,SM
QuikPlCv,1658C1,ETIMORT,D4,C1,F,SM
QuikPlCv,1658C1,MORT,A4,A1,M,SM
QuikPlCv,1658C1,ETIMORT,C4,C1,M,SM
QuikPlCv,1658CS,MORT,B4,A1,F,SM
QuikPlCv,1658CS,ETIMORT,D4,C1,F,SM
QuikPlCv,1658CS,MORT,A4,A1,M,SM
QuikPlCv,1658CS,ETIMORT,C4,C1,M,SM
QuikPlCv,1659C2,MORT,B4,A1,F,SM
QuikPlCv,1659C2,ETIMORT,D4,C1,F,SM
QuikPlCv,1659C2,MORT,A4,A1,M,SM
QuikPlCv,1659C2,ETIMORT,C4,C1,M,SM
QuikPlCv,1659CR,MORT,B4,A1,F,SM
QuikPlCv,1659CR,ETIMORT,D4,C1,F,SM
QuikPlCv,1659CR,MORT,A4,A1,M,SM
QuikPlCv,1659CR,ETIMORT,C4,C1,M,SM
QuikPlCv,1659CS,MORT,B4,A1,F,SM
QuikPlCv,1659CS,ETIMORT,D4,C1,F,SM
QuikPlCv,1659CS,MORT,A4,A1,M,SM
QuikPlCv,1659CS,ETIMORT,C4,C1,M,SM
QuikPlCv,1659SR,MORT,B4,A1,F,SM
QuikPlCv,1659SR,ETIMORT,D4,C1,F,SM
QuikPlCv,1659SR,MORT,A4,A1,M,SM
QuikPlCv,1659SR,ETIMORT,C4,C1,M,SM
QuikPlCv,1666WL,NFOINT,,2,M,00
QuikPlCv,1668SP,MORT,B4,A1,F,SM
QuikPlCv,1668SP,ETIMORT,,C1,F,SM
QuikPlCv,1668SP,NFOINT,G,E,F,SM
QuikPlCv,1668SP,MORT,A4,A1,M,SM
QuikPlCv,1668SP,ETIMORT,,C1,M,SM
QuikPlCv,1668SP,NFOINT,G,E,M,SM
QuikPlCv,1669SR,MORT,B4,A1,F,SM
QuikPlCv,1669SR,ETIMORT,D4,C1,F,SM
QuikPlCv,1669SR,MORT,A4,A1,M,SM
QuikPlCv,1669SR,ETIMORT,C4,C1,M,SM
QuikPlCv,1679CS,MORT,A4,A1,M,SM
QuikPlCv,1679CS,ETIMORT,C4,C1,M,SM
QuikPlCv,170588,MORT,P1,O1,F,00
QuikPlCv,170588,ETIMORT,R1,Q1,F,00
QuikPlCv,170588,NFOINT,,6,F,00
QuikPlCv,170588,NFOINT,,6,M,00
QuikPlCv,170858,MORT,P1,O1,F,00
QuikPlCv,170858,ETIMORT,R1,Q1,F,00
QuikPlCv,170858,NFOINT,,2,F,00
QuikPlCv,170858,NFOINT,,2,M,00
QuikPlCv,17085M,MORT,P1,O1,F,00
QuikPlCv,17085M,ETIMORT,R1,Q1,F,00
QuikPlCv,17085M,NFOINT,,2,F,00
QuikPlCv,17085M,NFOINT,,2,M,00
QuikPlCv,17CSI3,MORT,B1,A1,F,00
QuikPlCv,17CSI3,ETIMORT,D1,C1,F,00
QuikPlCv,17CSI3,NFOINT,F,A,F,00
QuikPlCv,17CSI3,NFOINT,F,A,M,00
QuikPlCv,17CSI5,MORT,B1,A1,F,00
QuikPlCv,17CSI5,ETIMORT,D1,C1,F,00
QuikPlCv,17CSI5,NFOINT,F,A,F,00
QuikPlCv,17CSI5,NFOINT,F,A,M,00
QuikPlCv,17CSI7,MORT,B1,A1,F,00
QuikPlCv,17CSI7,ETIMORT,D1,C1,F,00
QuikPlCv,17CSI7,NFOINT,F,A,F,00
QuikPlTv,1658C1,RSVINT,,A,F,PR
QuikPlTv,1658C1,RSVMETH,,3,F,PR
QuikPlTv,1658C1,INTMETHTV,,0,F,PR
QuikPlTv,1658C1,STOREMEANS,,False,F,PR
QuikPlTv,1658C1,CALCMIDS,,False,F,PR
QuikPlTv,1658C1,MORT,B4,A1,F,SM
QuikPlTv,1658C1,RSVINT,,A,F,SM
QuikPlTv,1658C1,RSVMETH,,3,F,SM
QuikPlTv,1658C1,INTMETHTV,,0,F,SM
QuikPlTv,1658C1,STOREMEANS,,False,F,SM
QuikPlTv,1658C1,CALCMIDS,,False,F,SM
QuikPlTv,1658C1,RSVINT,,A,M,PR
QuikPlTv,1658C1,RSVMETH,,3,M,PR
QuikPlTv,1658C1,INTMETHTV,,0,M,PR
QuikPlTv,1658C1,STOREMEANS,,False,M,PR
QuikPlTv,1658C1,CALCMIDS,,False,M,PR
QuikPlTv,1658C1,MORT,A4,A1,M,SM
QuikPlTv,1658C1,RSVINT,,A,M,SM
QuikPlTv,1658C1,RSVMETH,,3,M,SM
QuikPlTv,1658C1,INTMETHTV,,0,M,SM
QuikPlTv,1658C1,STOREMEANS,,False,M,SM
QuikPlTv,1658C1,CALCMIDS,,False,M,SM
QuikPlTv,1658CS,MORT,B4,A1,F,SM
QuikPlTv,1658CS,RSVINT,,A,F,SM
QuikPlTv,1658CS,RSVMETH,,3,F,SM
QuikPlTv,1658CS,INTMETHTV,,0,F,SM
QuikPlTv,1658CS,STOREMEANS,,False,F,SM
QuikPlTv,1658CS,CALCMIDS,,False,F,SM
QuikPlTv,1658CS,MORT,A4,A1,M,SM
QuikPlTv,1658CS,RSVINT,,A,M,SM
QuikPlTv,1658CS,RSVMETH,,3,M,SM
QuikPlTv,1658CS,INTMETHTV,,0,M,SM
QuikPlTv,1658CS,STOREMEANS,,False,M,SM
QuikPlTv,1658CS,CALCMIDS,,False,M,SM
QuikPlTv,1659C2,RSVINT,,A,F,PR
QuikPlTv,1659C2,RSVMETH,,3,F,PR
QuikPlTv,1659C2,INTMETHTV,,0,F,PR
QuikPlTv,1659C2,STOREMEANS,,False,F,PR
QuikPlTv,1659C2,CALCMIDS,,False,F,PR
QuikPlTv,1659C2,MORT,B4,A1,F,SM
QuikPlTv,1659C2,RSVINT,,A,F,SM
QuikPlTv,1659C2,RSVMETH,,3,F,SM
QuikPlTv,1659C2,INTMETHTV,,0,F,SM
QuikPlTv,1659C2,STOREMEANS,,False,F,SM
QuikPlTv,1659C2,CALCMIDS,,False,F,SM
QuikPlTv,1659C2,RSVINT,,A,M,PR
