MPOLICY,LP_POLICY,LIFEPRO_PLAN,MPLAN,CONTRACT_CODE,CONTRACT_REASON,PAID_UP_TYPE,MSTATUS_NOW,MNFOPT,MPHSTAT,PROPOSED_KEY,MSTATUS_PROPOSED,WOULD_CHANGE,FALSE_ETI
9010516211C,9010516211,646 ART,5646AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010761450C,9010761450,667 ART,5667AT,T,LP,LE,44,0,44,T_LP,54,Y,Y
9010764158C,9010764158,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010764248C,9010764248,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010768802C,9010768802,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010773561C,9010773561,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010774774C,9010774774,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010777321C,9010777321,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010777322C,9010777322,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010779456C,9010779456,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010779553C,9010779553,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010780202C,9010780202,667 ART,5667AT,A,RI,LE,44,0,44,A_RI,22,Y,Y
9010781852C,9010781852,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010781853C,9010781853,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010783070C,9010783070,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010783071C,9010783071,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010800356C,9010800356,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010810225C,9010810225,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010810226C,9010810226,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010810272C,9010810272,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010813433C,9010813433,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010815772C,9010815772,667 ART,5667AT,A,RI,LE,44,0,44,A_RI,22,Y,Y
9010816232C,9010816232,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010816336C,9010816336,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010816337C,9010816337,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010818314C,9010818314,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010820645C,9010820645,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010823222C,9010823222,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010824561C,9010824561,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010827956C,9010827956,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010833858C,9010833858,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010837136C,9010837136,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010839848C,9010839848,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010840772C,9010840772,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010844919C,9010844919,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010848296C,9010848296,667 ART,5667AT,T,LP,LE,44,0,44,T_LP,54,Y,Y
9010856342C,9010856342,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010857632C,9010857632,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010873285C,9010873285,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010878315C,9010878315,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010878559C,9010878559,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010880469C,9010880469,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010882604C,9010882604,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010886099C,9010886099,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010888312C,9010888312,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010888313C,9010888313,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010895937C,9010895937,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010900623C,9010900623,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010917602C,9010917602,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010917603C,9010917603,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010917604C,9010917604,667 ART,5667AT,A,RS,LE,44,0,44,A_RS,22,Y,Y
9010926969C,9010926969,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010926970C,9010926970,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010934017C,9010934017,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010936179C,9010936179,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010936709C,9010936709,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
