SOURCE_COVERAGE_ID,AUTHORITATIVE_PLAN,TYPE_CODE,TARGET_TABLE,SEX,BAND,UWCLASS,SOURCE_DURATION,QL_DURATION,SOURCE_VALUE,TARGET_VALUE,MATCH_STATUS,VALUE_DIFFERENCE,NOTES
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,1,0,.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,2,1,3.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,3,2,14.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,4,3,26.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,5,4,38.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,6,5,50.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,7,6,63.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,8,7,77.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,9,8,90.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,10,9,105.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,11,10,119.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,12,11,135.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,13,12,151.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,14,13,167.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,15,14,184.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,16,15,202.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
10827 CSI3,17CSI3,CV,QuikCvs,F,01,00,17,16,220.0000000,,PLAN_NOT_IN_TARGET,,sampled: capped per plan; full count in summary.json
