INVENTORY_ID,SOURCE_PATH,DESTINATION_PATH,SOURCE_SIZE,DESTINATION_SIZE,SOURCE_SHA256,DESTINATION_SHA256,VERIFICATION_STATUS,COPY_RESULT,ERROR_MESSAGE
CIT-INV-00002,CFIC_Cash_Values/802M_CV.zip,source/original/cash_values/802M_CV.zip,156726624,156726624,744266039d4bfbdccfc531e7074b67797ea348621e75151163d9debaa86b954e,744266039d4bfbdccfc531e7074b67797ea348621e75151163d9debaa86b954e,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00003,CFIC_Cash_Values/802W_CV.zip,source/original/cash_values/802W_CV.zip,77054136,77054136,637fa4df55cc6755f6e20f7cd6006e7030ee5b01278daeed6b5e777c7e8e06b5,637fa4df55cc6755f6e20f7cd6006e7030ee5b01278daeed6b5e777c7e8e06b5,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00118,CFIC_Cash_Values/ABFN_CV.zip,source/original/cash_values/ABFN_CV.zip,170804111,170804111,b0584c8fdc53e911c1da8cb1e05ad0ee6567832de7cb843f178c59083b7ac770,b0584c8fdc53e911c1da8cb1e05ad0ee6567832de7cb843f178c59083b7ac770,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00119,CFIC_Cash_Values/ABFS_CV.zip,source/original/cash_values/ABFS_CV.zip,227656627,227656627,0d4dd8201e99d83aef55a58e8a6446967167c78e747b6003c471be0adcc3a62a,0d4dd8201e99d83aef55a58e8a6446967167c78e747b6003c471be0adcc3a62a,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00120,CFIC_Cash_Values/ABMN_CV.zip,source/original/cash_values/ABMN_CV.zip,171168193,171168193,9237706ee7da478062dcfb88a29ce3b9a2e17839016c0402a5505793c385a19f,9237706ee7da478062dcfb88a29ce3b9a2e17839016c0402a5505793c385a19f,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00121,CFIC_Cash_Values/ABMS_CV.zip,source/original/cash_values/ABMS_CV.zip,228707250,228707250,c3daf3e58f366bea146403b4024c9471e3d5581b030dd24e69a0c1310c305b54,c3daf3e58f366bea146403b4024c9471e3d5581b030dd24e69a0c1310c305b54,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00122,CFIC_Cash_Values/MultipleCashValueFiles.zip,quarantine/duplicate_review/MultipleCashValueFiles.zip,278330287,278330287,111d1041f2db37773f62e5b5c3ba5584a2797ac4fc4143f710117fa29c24506e,111d1041f2db37773f62e5b5c3ba5584a2797ac4fc4143f710117fa29c24506e,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00123,CFIC_Cash_Values/P7FN_CV.zip,source/original/cash_values/P7FN_CV.zip,140924178,140924178,ad0f2420cffcc6ca21a70212c5ddb64421d498e834aa7ce51f2d946c9112116e,ad0f2420cffcc6ca21a70212c5ddb64421d498e834aa7ce51f2d946c9112116e,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00124,CFIC_Cash_Values/P7FS_CV.zip,source/original/cash_values/P7FS_CV.zip,197924925,197924925,733653d3543da1bb114ae107990a3bec3980f96d00f734e72a506c570a7651eb,733653d3543da1bb114ae107990a3bec3980f96d00f734e72a506c570a7651eb,VERIFIED,ALREADY_PRESENT_VERIFIED,
CIT-INV-00125,CFIC_Cash_Values/P7MN_CV.zip,source/original/cash_values/P7MN_CV.zip,138585368,138585368,7decc07d3cfe0dbd3f8b79b7359a553af5cac67cb4a7e3cae623241a2de12309,7decc07d3cfe0dbd3f8b79b7359a553af5cac67cb4a7e3cae623241a2de12309,VERIFIED,ALREADY_PRESENT_VERIFIED,
