INVENTORY_ID,SOURCE_RELATIVE_PATH,CASE_COLLISION_STATUS,FILENAME_COLLISION_STATUS,PROPOSED_DESTINATION_RELATIVE_PATH
CIT-INV-00025,CFIC_Cash_Values/_dev_p7mn/P7MN_18.pdf,NONE,FILENAME_COLLISION,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_18.pdf
CIT-INV-00026,CFIC_Cash_Values/_dev_p7mn/P7MN_18_p0.png,NONE,FILENAME_COLLISION,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_dev_p7mn/P7MN_18_p0.png
CIT-INV-00035,CFIC_Cash_Values/_sample_pdfs/P7MN_18.pdf,NONE,FILENAME_COLLISION,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_sample_pdfs/P7MN_18.pdf
CIT-INV-00036,CFIC_Cash_Values/_sample_pdfs/P7MN_18_p0.png,NONE,FILENAME_COLLISION,archive/legacy_cfic_rates/dev_samples/CFIC_Cash_Values/_sample_pdfs/P7MN_18_p0.png
CIT-INV-00133,CFIProposalMaker.zip,NONE,FILENAME_COLLISION,
CIT-INV-00249,extracted/CFIProposalMakerRev2.mdb,NONE,FILENAME_COLLISION,
CIT-INV-00264,extracted_reserve/staging/.822/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/.822/reserve_grid.csv
CIT-INV-00265,extracted_reserve/staging/0000/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/0000/reserve_grid.csv
CIT-INV-00266,extracted_reserve/staging/057/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/057/reserve_grid.csv
CIT-INV-00267,extracted_reserve/staging/057F/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/057F/reserve_grid.csv
CIT-INV-00268,extracted_reserve/staging/057G/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/057G/reserve_grid.csv
CIT-INV-00269,extracted_reserve/staging/10/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/10/reserve_grid.csv
CIT-INV-00270,extracted_reserve/staging/101G/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/101G/reserve_grid.csv
CIT-INV-00271,extracted_reserve/staging/3PFN/reserve_grid.csv,NONE,FILENAME_COLLISION,staging/normalized_rates/reserve/staging/3PFN/reserve_grid.csv
