INVENTORY_ID,SOURCE_RELATIVE_PATH,QLA_CORE_REFERENCE,QLA_MIGRATION_REFERENCE,CSO_REFERENCE
CIT-INV-00132,cfic_paths.py,N,Y,N
CIT-INV-00136,docs/_build_plan_rate_inventory.py,N,N,Y
CIT-INV-00176,docs/_ocr_extract/Drummond_CFI_PlanCodes_Rates_full.txt,N,N,Y
CIT-INV-00178,docs/_ocr_extract/Drummond_CFI_PlanCodes_Rates_p1.txt,N,N,Y
CIT-INV-00199,docs/_ocr_extract/Life_PlanCodes_Rates_full.txt,N,N,Y
CIT-INV-00201,docs/_ocr_extract/Life_PlanCodes_Rates_p1.txt,N,N,Y
CIT-INV-00214,docs/_ocr_extract/Quest_PermaLife_PlanCode_Rates_full.txt,N,N,Y
CIT-INV-00216,docs/_ocr_extract/Quest_PermaLife_PlanCode_Rates_p1.txt,N,N,Y
CIT-INV-00235,docs/cash_value_extraction_plan.md,Y,Y,N
CIT-INV-00242,docs/plan_rate_inventory.csv,N,N,Y
CIT-INV-00243,docs/plan_rate_source_index.md,N,N,Y
CIT-INV-00263,extracted_plans/staging/plans_master.csv,N,N,Y
CIT-INV-00402,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Dependency_Gate.md,N,Y,N
CIT-INV-00403,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Implementation_Notes.md,N,Y,N
CIT-INV-00404,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Intake_Summary.md,Y,Y,N
CIT-INV-00405,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Open_Business_Questions.md,N,Y,N
CIT-INV-00406,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Planning_Report.md,Y,Y,N
CIT-INV-00407,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Risk_Review_Report.md,Y,Y,N
CIT-INV-00408,Issue_Log/CFIC_Issue_01/CFIC_Issue_01_Scope_Decisions.md,N,Y,N
CIT-INV-00428,Issue_Log/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,Y,N,N
CIT-INV-00432,Issue_Log/CFIC_Issue_03/CFIC_Issue_03_Implementation_Notes.md,Y,N,Y
CIT-INV-00440,Issue_Log/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,Y,N,N
CIT-INV-00442,Issue_Log/README.md,N,Y,N
CIT-INV-00453,output/README.md,N,Y,Y
CIT-INV-00454,README.md,N,Y,N
CIT-INV-00458,RUN_GUIDE.md,Y,Y,Y
CIT-INV-00462,scripts/cfic_rate_publish.py,Y,N,N
CIT-INV-00463,scripts/cfic_reserve_build.py,Y,N,N
CIT-INV-00464,scripts/package_cfic_rates.py,N,N,Y
CIT-INV-00501,tracking/README.md,Y,N,N
