TABLE_NAME,ROW_COUNT,DISTINCT_EFFDATE_VALUES,BLANK_EFFDATE,ZERO_EFFDATE,STATUS
QuikCvs,25717,19000101,0,0,PASS
QuikDbs,1380,19000101,0,0,PASS
QuikDvs,3978,19000101,0,0,PASS
QuikGps,1123,19000101,0,0,PASS
QuikNps,26650,19000101,0,0,PASS
QuikPlBd,66,N/A (no EFFDATE field),0,0,EXEMPT
QuikPlCv,70,19000101,0,0,PASS
QuikPlDb,12,19000101,0,0,PASS
QuikPlDv,20,19000101,0,0,PASS
QuikPlGd,110,N/A (no EFFDATE field),0,0,EXEMPT
QuikPlGp,13,19000101,0,0,PASS
QuikPlNb,64,19000101,0,0,PASS
QuikPlSt,64,N/A (no EFFDATE field),0,0,EXEMPT
QuikPlTv,112,19000101,0,0,PASS
QuikPlUw,80,N/A (no EFFDATE field),0,0,EXEMPT
QuikTvs,26097,19000101,0,0,PASS
