lifepro_coverage_id,lifepro_description,lifepro_form,crosswalk_ql_plan_code,crosswalk_ql_form,master_crosswalk_plan_map,pcomp_match,rulebook_source_fields,output_plan,output_form,output_descr,plan_transform_method,quikridr_mplan_dependency_count,lineage_path,lineage_integrity
0822 620,Accidental Death Benefit,0822,920ADB,0822 620,920ADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,920ADB,0822,ACCIDENTAL DEATH BENEFIT,QL_CROSSWALK,9,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0822 665,Accidental Death Benefit,0822,965ADB,0822 665,965ADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,965ADB,0822,ACCIDENTAL DEATH BENEFIT,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0822 960,Accidental Death Benefit,0822,960ADB,0822 960,960ADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,960ADB,0822,ACCIDENTAL DEATH BENEFIT,QL_CROSSWALK,24,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0822 960PO,Accidental Death Benefit,0822,9POADB,0822 960PO,9POADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9POADB,0822,ACCIDENTAL DEATH BENEFIT,QL_CROSSWALK,14,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 665,Waiver of Premium,0823,9665WP,0823 665,9665WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9665WP,0823,WAIVER OF PREMIUM,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 896,Waiver of Premium,0823,9896WP,0823 896,9896WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9896WP,0823,WAIVER OF PREMIUM,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 96085,Waiver of Premium - LPU at 85/88,0823,9085WP,0823 96085,9085WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9085WP,0823,WAIVER OF PREMIUM - LPU AT 85/88,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 960CH,Waiver of Premium - Child,0823,960CWP,0823 960CH,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,0823 960CH,0823,WAIVER OF PREMIUM - CHILD,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 960LP,Waiver of Premium,0823,9065WP,0823 960LP,9065WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9065WP,0823,WAIVER OF PREMIUM,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 960OL,Waiver of Premium,0823,90OLWP,0823 960OL,90OLWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,90OLWP,0823,WAIVER OF PREMIUM,QL_CROSSWALK,16,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
