output_plan,lifepro_coverage_id,target_field,current_output_value,crosswalk_authoritative_value,lifepro_source_value,current_logic_authority,recommended_authority,alignment_status,conflict_flag,governance_action
920ADB,0822 620,PLAN,920ADB,,0822 620,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
920ADB,0822 620,FORM,0822,0822 620,0822,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
920ADB,0822 620,DESCR,ACCIDENTAL DEATH BENEFIT,Accidental Death Benefit,Accidental Death Benefit,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
920ADB,0822 620,PLANNAME,ACCIDENTAL DEATH BENEFIT,Accidental DB - 621 END85,Accidental Death Benefit,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
965ADB,0822 665,PLAN,965ADB,,0822 665,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
965ADB,0822 665,FORM,0822,0822 665,0822,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
965ADB,0822 665,DESCR,ACCIDENTAL DEATH BENEFIT,Accidental Death Benefit,Accidental Death Benefit,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
965ADB,0822 665,PLANNAME,ACCIDENTAL DEATH BENEFIT,Accidental DB - 665 STME95,Accidental Death Benefit,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
960ADB,0822 960,PLAN,960ADB,,0822 960,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
960ADB,0822 960,FORM,0822,0822 960,0822,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
960ADB,0822 960,DESCR,ACCIDENTAL DEATH BENEFIT,Accidental Death Benefit,Accidental Death Benefit,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
960ADB,0822 960,PLANNAME,ACCIDENTAL DEATH BENEFIT,"Accidental DB - 960 LP85-M, 960 OL",Accidental Death Benefit,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9POADB,0822 960PO,PLAN,9POADB,,0822 960PO,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9POADB,0822 960PO,FORM,0822,0822 960PO,0822,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9POADB,0822 960PO,DESCR,ACCIDENTAL DEATH BENEFIT,Accidental Death Benefit,Accidental Death Benefit,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9POADB,0822 960PO,PLANNAME,ACCIDENTAL DEATH BENEFIT,Accidental Death Benefit - 960 PO,Accidental Death Benefit,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9665WP,0823 665,PLAN,9665WP,,0823 665,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9665WP,0823 665,FORM,0823,0823 665,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9665WP,0823 665,DESCR,WAIVER OF PREMIUM,Waiver of Premium,Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9665WP,0823 665,PLANNAME,WAIVER OF PREMIUM,Waiver of Prem - 665 STME95,Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9896WP,0823 896,PLAN,9896WP,,0823 896,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9896WP,0823 896,FORM,0823,0823 896,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9896WP,0823 896,DESCR,WAIVER OF PREMIUM,Waiver of Premium,Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9896WP,0823 896,PLANNAME,WAIVER OF PREMIUM,Waiver of Premium - 665 STME95,Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9085WP,0823 96085,PLAN,9085WP,,0823 96085,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9085WP,0823 96085,FORM,0823,0823 96085,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9085WP,0823 96085,DESCR,WAIVER OF PREMIUM - LPU AT 85/88,Waiver of Premium - LPU at 85/88,Waiver of Premium - LPU at 85/88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
