RATE_FAMILY,PLAN,TYPE_CODE,COUNT,MIN_VALUE,MAX_VALUE,AVG_VALUE,OVERFLOW_COUNT,OVERFLOW_PERCENT,FIELD_CAPACITY,NOTES
CASH_VALUE,130JEB,CV,885,0.0000,3815.9500,1692.1169,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1658C1,CV,18124,0.0000,1000.0000,241.8225,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1658CS,CV,9113,0.0000,1000.0000,267.2171,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1659C2,CV,9678,0.0000,1000.0000,446.7827,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1659CR,CV,9678,0.0000,1000.0000,446.7817,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1659CS,CV,9288,0.0000,1000.0000,447.4903,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1659SR,CV,9700,0.0000,1000.0000,450.4601,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1666WL,CV,4895,0.0000,1000.0000,515.9393,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1669SR,CV,2340,0.0000,1000.0000,493.5021,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1679CS,CV,4350,0.0000,1000.0000,447.8205,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,170588,CV,7346,0.0000,896.1500,437.5650,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,170858,CV,9121,0.0000,1000.0000,535.2650,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,17CSI3,CV,2370,0.0000,1000.0000,477.9996,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,17CSI5,CV,2370,0.0000,1000.0000,478.2097,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,17CSI7,CV,2370,0.0000,1000.0000,478.3473,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,196065,CV,4615,0.0000,1000.0000,620.8533,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1960OL,CV,4564,0.0000,1000.0000,517.9531,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1960PO,CV,9274,0.0000,1000.0000,490.9735,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1970JB,CV,1162,0.0000,6273.0200,2989.4733,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1991PL,CV,6398,0.0000,1000.0000,546.7490,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1CSIMN,CV,2370,0.0000,1000.0000,475.0266,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1L1095,CV,29599,0.0000,1000.0000,437.5943,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1L10OD,CV,29263,0.0000,1000.0000,450.5469,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1L10PR,CV,14799,0.0000,1000.0000,438.3413,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
CASH_VALUE,1L14SC,CV,2836,0.0000,1000.0000,485.1178,0,0.00,"CHAR(7) fixed 2dp: pos<=9999.99, neg>=-999.99",
