asset,category,entity_key,severity,detail
Master_Value_Translation.csv,UNUSED_TRANSLATION,A,INFO,Translation A->22 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,AG_A,INFO,Translation AG_A->Active not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,AG_INACTIVE,INFO,Translation AG_INACTIVE->Inactive not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,AG_PENDING,INFO,Translation AG_PENDING->Pending not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,AG_T,INFO,Translation AG_T->Terminated not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,AS,INFO,Translation AS->ASGN not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,B1,INFO,Translation B1->BENP not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,B2,INFO,Translation B2->BENC not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_1,INFO,Translation BF_1->1 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_2,INFO,Translation BF_2->2 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_3,INFO,Translation BF_3->3 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_4,INFO,Translation BF_4->4 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_A,INFO,Translation BF_A->A not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_ACH,INFO,Translation BF_ACH->2 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_APL,INFO,Translation BF_APL->4 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_C,INFO,Translation BF_C->C not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_DIR,INFO,Translation BF_DIR->1 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_GRP,INFO,Translation BF_GRP->3 not observed in output
Master_Value_Translation.csv,UNUSED_TRANSLATION,BF_PAC,INFO,Translation BF_PAC->2 not observed in output
