lifepro_coverage_id,plan_before,plan_after,plan_crosswalk_authority,uat_status
0823 960CH,0823 960CH,960CWP,960CWP,AUTHORITY_ALIGNED
0824 P DIS,0824 P DIS,94PDIS,94PDIS,AUTHORITY_ALIGNED
10827 MN5K,10827 MN5K,1CSIMN,1CSIMN,AUTHORITY_ALIGNED
1578 SPSPU,1578 SPSPU,578STR,578STR,AUTHORITY_ALIGNED
1579 GPO,1579 GPO,9GPO79,9GPO79,AUTHORITY_ALIGNED
1596 667,1596 667,967ADB,967ADB,AUTHORITY_ALIGNED
619 CH PU,619 CH PU,719CTR,719CTR,AUTHORITY_ALIGNED
621 PUA,621 PUA,121PUA,121PUA,AUTHORITY_ALIGNED
630 JEB,630 JEB,130JEB,130JEB,AUTHORITY_ALIGNED
646 ART,646 ART,5646AT,5646AT,AUTHORITY_ALIGNED
667 ART CR,667 ART CR,57ATCR,57ATCR,AUTHORITY_ALIGNED
669 SR GD,669 SR GD,1669SR,1669SR,AUTHORITY_ALIGNED
686S 30MRG,686S 30MRG,7686S3,7686S3,AUTHORITY_ALIGNED
687J 30MRG,687J 30MRG,7687J3,7687J3,AUTHORITY_ALIGNED
690 DT 65,690 DT 65,7690DT,7690DT,AUTHORITY_ALIGNED
8034 30MRG,8034 30MRG,934SWP,934SWP,AUTHORITY_ALIGNED
8034 J30MT,8034 J30MT,934JWP,934JWP,AUTHORITY_ALIGNED
8043CTR WP,8043CTR WP,943CWP,943CWP,AUTHORITY_ALIGNED
8046 JPO,8046 JPO,9JPO46,9JPO46,AUTHORITY_ALIGNED
961 ME65,961 ME65,2961ME,2961ME,AUTHORITY_ALIGNED
961 PUA,961 PUA,261PUA,261PUA,AUTHORITY_ALIGNED
970 JEB,970 JEB,1970JB,1970JB,AUTHORITY_ALIGNED
970 PUA,970 PUA,1970PA,1970PA,AUTHORITY_ALIGNED
DISCHO2475,9DIS25,9DIS24,9DIS24,AUTHORITY_ALIGNED
DISCHO247B,DISCHO247B,9DS24B,9DS24B,AUTHORITY_ALIGNED
DISCHO247C,9DIS25,9DS24C,9DS24C,AUTHORITY_ALIGNED
DISCHO29,DISCHO29,9DIS29,9DIS29,AUTHORITY_ALIGNED
L01 10Y MA,L01 10Y MA,5L01MA,5L01MA,AUTHORITY_ALIGNED
L10 PRE97,L10 PRE97,1L10OD,1L10OD,AUTHORITY_ALIGNED
L10 PREUNI,L10 PREUNI,1L10PR,1L10PR,AUTHORITY_ALIGNED
L10 SPSWP,L10 SPSWP,910SWP,910SWP,AUTHORITY_ALIGNED
L10 WP SRN,L10 WP SRN,910RWP,910RWP,AUTHORITY_ALIGNED
WP 646,WP 646,9WP646,9WP646,AUTHORITY_ALIGNED
