asset,category,entity_key,severity,detail
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0822 620,ERROR,920ADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0822 665,ERROR,965ADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0822 960,ERROR,960ADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0822 960PO,ERROR,9POADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 665,ERROR,9665WP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 896,ERROR,9896WP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 96085,ERROR,9085WP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 960LP,ERROR,9065WP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 960OL,ERROR,90OLWP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 960PO,ERROR,90POWP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0823 960SP,ERROR,960SWP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,0824 P DTH,ERROR,90PDTH(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,10827 CSI3,ERROR,17CSI3(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,10827 CSI5,ERROR,17CSI5(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,10827 CSI7,ERROR,17CSI7(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1576 658,ERROR,976658(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1576 659,ERROR,976659(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1577 ADB,ERROR,977ADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1578 CTR,ERROR,578CTR(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1578 FTR,ERROR,778FTR(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1578CTR WP,ERROR,9CTRWP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1578FTR WP,ERROR,9FTRWP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1580 JPO,ERROR,980JPO(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1595,ERROR,9595WP(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1596,ERROR,996ADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,1596 L01,ERROR,901ADB(PLAN_OR_ENTITY)
Master_Crosswalk.csv,DUPLICATE_OLD_VALUE,619 DT,ERROR,7619DT(PLAN_OR_ENTITY)
