scaffold_file,observed_value,governance_action,notes,mplan_code,quikridr_row_count,coverage_id,current_form,crosswalk_form,current_plan,lifepro_coverage_id,current_output_plan,crosswalk_ql_plan_code,Old_Value,New_Value,mapping_class
untranslated_values.csv,& PAYOR DISABILITY RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,0.00,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,0.0000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,00,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,01,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,03,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,05,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,06,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,07,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,08,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,0822,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,0823,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,0824,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,09,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,10,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,100,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,100.0000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1000.00,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,10000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,100000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1000000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,10000000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,103,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,10827,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,11,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,12,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,12500,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,13,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,14,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,15,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,150000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1576,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1577,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1578,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1578 CTR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1578 FTR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1579,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1580,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,1596,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
