lifepro_coverage_id,authoritative_ql_plan_code,catalog_crosswalk_ql_plan_code,catalog_ql_plan_code_compat,catalog_mapping_status,master_crosswalk_new_value,quikplan_output_plan,effective_converter_plan,effective_source,matches_authoritative,discrepancy_type
0822 620,920ADB,920ADB,920ADB,STABLE_EMIT,920ADB,920ADB,920ADB,runtime_product_plan_map,Y,
0822 665,965ADB,965ADB,965ADB,STABLE_EMIT,965ADB,965ADB,965ADB,runtime_product_plan_map,Y,
0822 960,960ADB,960ADB,960ADB,STABLE_EMIT,960ADB,960ADB,960ADB,runtime_product_plan_map,Y,
0822 960PO,9POADB,9POADB,9POADB,STABLE_EMIT,9POADB,9POADB,9POADB,runtime_product_plan_map,Y,
0823 665,9665WP,9665WP,9665WP,STABLE_EMIT,9665WP,9665WP,9665WP,runtime_product_plan_map,Y,
0823 896,9896WP,9896WP,9896WP,STABLE_EMIT,9896WP,9896WP,9896WP,runtime_product_plan_map,Y,
0823 96085,9085WP,9085WP,9085WP,STABLE_EMIT,9085WP,9085WP,9085WP,runtime_product_plan_map,Y,
0823 960CH,960CWP,960CWP,0823 960CH,CROSSWALK_DIVERGENT,,960CWP,960CWP,runtime_product_plan_map,Y,
0823 960LP,9065WP,9065WP,9065WP,STABLE_EMIT,9065WP,9065WP,9065WP,runtime_product_plan_map,Y,
0823 960OL,90OLWP,90OLWP,90OLWP,STABLE_EMIT,90OLWP,90OLWP,90OLWP,runtime_product_plan_map,Y,
0823 960PO,90POWP,90POWP,90POWP,STABLE_EMIT,90POWP,90POWP,90POWP,runtime_product_plan_map,Y,
0823 960SP,960SWP,960SWP,960SWP,STABLE_EMIT,960SWP,960SWP,960SWP,runtime_product_plan_map,Y,
0824 P DIS,94PDIS,94PDIS,0824 P DIS,CROSSWALK_DIVERGENT,,94PDIS,94PDIS,runtime_product_plan_map,Y,
0824 P DTH,90PDTH,90PDTH,90PDTH,STABLE_EMIT,90PDTH,90PDTH,90PDTH,runtime_product_plan_map,Y,
10827 CSI3,17CSI3,17CSI3,17CSI3,STABLE_EMIT,17CSI3,17CSI3,17CSI3,runtime_product_plan_map,Y,
10827 CSI5,17CSI5,17CSI5,17CSI5,STABLE_EMIT,17CSI5,17CSI5,17CSI5,runtime_product_plan_map,Y,
10827 CSI7,17CSI7,17CSI7,17CSI7,STABLE_EMIT,17CSI7,17CSI7,17CSI7,runtime_product_plan_map,Y,
10827 MN5K,1CSIMN,1CSIMN,10827 MN5K,CROSSWALK_DIVERGENT,,1CSIMN,1CSIMN,runtime_product_plan_map,Y,
1576 658,976658,976658,976658,STABLE_EMIT,976658,976658,976658,runtime_product_plan_map,Y,
1576 659,976659,976659,976659,STABLE_EMIT,976659,976659,976659,runtime_product_plan_map,Y,
1577 ADB,977ADB,977ADB,977ADB,STABLE_EMIT,977ADB,977ADB,977ADB,runtime_product_plan_map,Y,
1578 CTR,578CTR,578CTR,578CTR,STABLE_EMIT,578CTR,578CTR,578CTR,runtime_product_plan_map,Y,
1578 FTR,778FTR,778FTR,778FTR,STABLE_EMIT,778FTR,778FTR,778FTR,runtime_product_plan_map,Y,
1578 SPSPU,578STR,578STR,1578 SPSPU,CROSSWALK_DIVERGENT,,578STR,578STR,runtime_product_plan_map,Y,
1578CTR WP,9CTRWP,9CTRWP,9CTRWP,STABLE_EMIT,9CTRWP,9CTRWP,9CTRWP,runtime_product_plan_map,Y,
1578FTR WP,9FTRWP,9FTRWP,9FTRWP,STABLE_EMIT,9FTRWP,9FTRWP,9FTRWP,runtime_product_plan_map,Y,
