lifepro_coverage_id,ql_plan_code,ql_form_number,ql_plan_description,ql_friendly_name,source_file
L17 1,10L171,L17 1,Single Premium Whole Life,Single Premium WL - L17,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L17 2+,10L172,L17 2+,Single Premium Whole Life,Single Premium WL - L17,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
L17 1 JPO,117JPO,L17 1 JPO,L17 Juvenile Purchase Option,Juvenile Purchase Option - L17,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
658 CEN I,1658C1,658 CEN I,Interest-Sensitive Whole Life,"CENSI-LIFE I: WL, CV, Loan Options, GDB",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
658 CEN SD,1658CS,658 CEN SD,Interest-Sensitive Whole Life,"CENSI-LIFE I: WL, Fixed Premium",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
659 CEN II,1659C2,659 CEN II,Interest-Sensitive Whole Life,"CENSI-LIFE II: WL, Fixed Prem Op, Van",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
659 CEN SR,1659CR,659 CEN SR,Interest-Sensitive Whole Life,"CENSI-LIFE II: WL, Fixed Prem Op, Van",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
659 CEN SD,1659CS,659 CEN SD,Interest-Sensitive Whole Life,"CENSI-LIFE II: Fixed Prem Op, Van, GDB",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
659 SR GD,1659SR,659 SR GD,Interest-Sensitive Whole Life,"CENSI-LIFE II: Van Prem, Loan Op, GDB",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
960 65 PUA,165PUA,960 65 PUA,Paid Up Adds - Life Paid Up at Age 65,PUAs for 960 LP65,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
897 666,1666AI,897 666,Additional Insureds 666 WL,Additional Insureds 666 WL,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
666 WL,1666WL,666 WL,Multiple Insureds Whole Life,"WL, Guar Rates & CV, DB Increases",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
668 SPWL,1668SP,668 SPWL,Single Premium Whole Life,Single Premium Whole Life,C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
679 CEN SD,1679CS,679 CEN SD,Interest-Sensitive Whole Life,"Choice Plus: Van Prem, Empl Spon, Loans",C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\source_data\crosswalk\Policy Form Crosswalk 5.22.26.xlsx
