lifepro_coverage_id,compat_plan,auth_plan,ppben_rows,policies,quikridr_rows
0823 960CH,0823 960CH,960CWP,1,1,1
0824 P DIS,0824 P DIS,94PDIS,1,1,1
10827 MN5K,10827 MN5K,1CSIMN,3,3,3
1578 SPSPU,1578 SPSPU,578STR,4,4,4
1579 GPO,1579 GPO,9GPO79,1,1,1
1596 667,1596 667,967ADB,8,8,8
619 CH PU,619 CH PU,719CTR,2,2,2
621 PUA,621 PUA,121PUA,1,1,0
630 JEB,630 JEB,130JEB,1,1,1
646 ART,646 ART,5646AT,1,1,1
667 ART CR,667 ART CR,57ATCR,1,1,1
669 SR GD,669 SR GD,1669SR,2,2,2
686S 30MRG,686S 30MRG,7686S3,3,3,3
687J 30MRG,687J 30MRG,7687J3,2,2,2
690 DT 65,690 DT 65,7690DT,1,1,1
8034 30MRG,8034 30MRG,934SWP,2,2,2
8034 J30MT,8034 J30MT,934JWP,2,2,2
8043CTR WP,8043CTR WP,943CWP,6,6,6
8046 JPO,8046 JPO,9JPO46,10,10,10
961 ME65,961 ME65,2961ME,1,1,1
961 PUA,961 PUA,261PUA,1,1,1
970 JEB,970 JEB,1970JB,1,1,1
970 PUA,970 PUA,1970PA,1,1,0
DISCHO2475,9DIS25,9DIS24,18,18,34
DISCHO247B,DISCHO247B,9DS24B,2,2,2
DISCHO247C,9DIS25,9DS24C,12,12,34
DISCHO29,DISCHO29,9DIS29,2,2,2
L01 10Y MA,L01 10Y MA,5L01MA,1,1,1
L10 PRE97,L10 PRE97,1L10OD,143,142,143
L10 PREUNI,L10 PREUNI,1L10PR,1,1,1
L10 SPSWP,L10 SPSWP,910SWP,2,2,2
L10 WP SRN,L10 WP SRN,910RWP,1,1,1
WP 646,WP 646,9WP646,1,1,1
