MPOLICY,TYPE_CODE,SOURCE_COL,SOURCE_RAW,CURRENT_MNFOPT,SIM_CURRENT,SIM_PROPOSED,WOULD_CHANGE
010143726C,BA,NON_FORFEITURE,4,0,0,0,False
010148272C,BA,NON_FORFEITURE,4,0,0,0,False
010148856C,BA,NON_FORFEITURE,4,0,0,0,False
010149295C,BA,NON_FORFEITURE,4,2,0,0,True
010149834C,BA,NON_FORFEITURE,4,0,0,0,False
010150031C,BA,NON_FORFEITURE,4,2,0,0,True
010150740C,BA,NON_FORFEITURE,4,0,0,0,False
010150910C,BA,NON_FORFEITURE,4,0,0,0,False
010154425C,BA,NON_FORFEITURE,4,0,0,0,False
010157076C,BA,NON_FORFEITURE,4,0,0,0,False
010158001C,BA,NON_FORFEITURE,4,0,0,0,False
010161748C,BA,NON_FORFEITURE,4,0,0,0,False
010165095C,BA,NON_FORFEITURE,4,3,0,0,True
010171334C,BA,NON_FORFEITURE,4,0,0,0,False
010185592C,BA,NON_FORFEITURE,4,0,0,0,False
010235370C,BA,NON_FORFEITURE,1,1,1,1,False
010264207C,BA,NON_FORFEITURE,1,1,1,1,False
010300689C,BA,NON_FORFEITURE,1,2,1,1,True
010310404C,BA,NON_FORFEITURE,1,1,1,1,False
010331157C,BA,NON_FORFEITURE,1,1,1,1,False
010331768C,BA,NON_FORFEITURE,4,0,0,0,False
010335038C,BA,NON_FORFEITURE,1,1,1,1,False
010335095C,BA,NON_FORFEITURE,4,0,0,0,False
010346921C,BA,NON_FORFEITURE,1,1,1,1,False
010348734C,BA,NON_FORFEITURE,1,1,1,1,False
010350577C,BA,NON_FORFEITURE,1,1,1,1,False
010360289C,BA,NON_FORFEITURE,4,0,0,0,False
010360290C,BA,NON_FORFEITURE,4,0,0,0,False
010363098C,BA,NON_FORFEITURE,1,1,1,1,False
010367131C,BA,NON_FORFEITURE,4,0,0,0,False
010367132C,BA,NON_FORFEITURE,4,0,0,0,False
010367133C,BA,NON_FORFEITURE,4,0,0,0,False
010367438C,BA,NON_FORFEITURE,4,0,0,0,False
010367704C,BA,NON_FORFEITURE,4,0,0,0,False
010367705C,BA,NON_FORFEITURE,4,0,0,0,False
010368703C,BA,NON_FORFEITURE,4,0,0,0,False
010371171C,BA,NON_FORFEITURE,4,0,0,0,False
010371356C,BA,NON_FORFEITURE,4,0,0,0,False
010373918C,BA,NON_FORFEITURE,5,3,0,0,True
010374099C,BA,NON_FORFEITURE,1,2,1,1,True
010374779C,BA,NON_FORFEITURE,4,0,0,0,False
010374837C,BA,NON_FORFEITURE,4,0,0,0,False
010374838C,BA,NON_FORFEITURE,4,0,0,0,False
010376522C,BA,NON_FORFEITURE,1,1,1,1,False
010376529C,BA,NON_FORFEITURE,4,0,0,0,False
010376540C,BA,NON_FORFEITURE,4,0,0,0,False
010377918C,BA,NON_FORFEITURE,4,3,0,0,True
010378485C,BA,NON_FORFEITURE,1,2,1,1,True
010378710C,BA,NON_FORFEITURE,1,0,1,1,True
010378829C,BA,NON_FORFEITURE,1,0,1,1,True
010378830C,BA,NON_FORFEITURE,1,1,1,1,False
010379405C,BA,NON_FORFEITURE,1,1,1,1,False
010379477C,BA,NON_FORFEITURE,1,3,1,1,True
010379478C,BA,NON_FORFEITURE,1,3,1,1,True
010380049C,BA,NON_FORFEITURE,1,1,1,1,False
