MPOLICY,PLAN_OR_PRODUCT,LIFEPRO_NFO_SCREENSHOT,CURRENT_MNFOPT,CURRENT_MDIVOPT,EXTRACT_NON_FORFEITURE,EXTRACT_DIVIDEND,SME_STATUS,NOTES
010391895C,ISWL sample,ETI,0,4,,,NFO_FAIL,Issue #21 screenshot; not in Issue #38 pop
010448806C,ISWL sample,RPU,0,4,,,NFO_FAIL,Issue #21 screenshot; not in Issue #38 pop
010765930C,ISWL sample,APL ETI,0,0,,,NFO_FAIL,SME rule applies when confirmed — map to APL (1)
010713704C,ISWL sample,ETI,0,0,,,NFO_FAIL,UAT showed NFO 0 DIV 0
010818663C,ISWL sample,ETI,0,0,,,NFO_FAIL,UAT showed NFO 0 DIV 0
010391876C,ISWL sample,ETI,2,4,,,NFO_OK_ETI,MNFOPT=2 may be correct for standalone ETI
010718309C,ISWL sample,APL ETI,0,0,,,NFO_FAIL,SME rule applies when confirmed — map to APL (1)
010469666C,960 OL,,2,3,2,3,SME_CODE2_WRONG,Extract NF=2 (APL/RPU) emits MNFOPT=2; SME says should be 1
010405802C,670 GL85-M,,0,4,4,3,EXTRACT4_ZEROED,Extract NF=4 (LifePRO ETI) zeroed by NF_4 translation
010435671C,960 PO,,1,3,1,3,SME_CODE1_OK,Extract NF=1 (APL/ETI) correctly emits MNFOPT=1
