PRODUCT_ID,COMPONENT_NUMBER,END_DATE   ,COVERAGE_ID,COMPONENT_TYPE,COVERAGE_DESC                           ,RIDER_BASIS,MIN_ISSUE_AGE,MAX_ISSUE_AGE,MIN_ISSUE_AMT1,MIN_ISSUE_AMT2,MIN_ISSUE_AMT3,MIN_ISSUE_AMT4,MIN_ISSUE_AMT5,MIN_ISSUE_AMT6,MAX_ISSUE_AMT1,MAX_ISSUE_AMT2,MAX_ISSUE_AMT3,MAX_ISSUE_AMT4,MAX_ISSUE_AMT5,MAX_ISSUE_AMT6,PARENT_COMPONENT,COMM_BASED_ON_DATE,PREM_BASED_ON_DATE,PC_RATING_RANK,PC_PREMIUM_RANK,NBC_SEGMENT_ID,PYMNT_ACTIVATION,BEN_ADD_RESTRICT,INF_REQ_TABLE,FORCE_RATINGS,COMP_SUB_TYPE,DEFLT_MULT_INS,THRU_AGE1,THRU_AGE2,THRU_AGE3,THRU_AGE4,THRU_AGE5,THRU_AGE6,MEDICAL_TABLE,SEX_BASIS,FACE_TYPE,MANDATORY_FLAG,DEFAULT_TYPE,ABSOLUTE_VALUE,POLICY_CURRENCY,PERCENT_VALUE,MAXIMUM_NUMBER,CO_COMP1,CO_COMP2,CO_COMP3,CO_COMP4,CO_COMP5,CO_COMP6,CO_COMP7,CO_COMP8,CO_COMP9,CO_COMP10,EX_COMP1,EX_COMP2,EX_COMP3,EX_COMP4,EX_COMP5,EX_COMP6,EX_COMP7,EX_COMP8,EX_COMP9,EX_COMP10,SEPARATE_DISC,RATINGS_TABLE,ULPRO_INDICATOR,ISSUE_STATE,STATE_EXCLUSION,ADD_REQ_TABLE,CHG_REQ_TABLE,UNDR_METHOD,UL_RIDER_FUND_ID,APPLICATION_FEE,NON_OR_RE_FUNDABLE,MAX_ANNUITANTS,MIN_ANNUITANTS,MAX_PAYEES,MIN_PAYEES,VALUE_TYPE,TOTAL_INFORCE_FLAG,ALLOW_LEVEL,DISALLOW_LEVEL,MAX_LEVEL,PRINT_ID_CARD_FLAG,AUTO_ISSUE_ID,ALLOW_AUTO_ISSUE,APP_FEE_OVERIDE_SW,COPY_EXT_KEY_FLAG,INS_JNT_LMT_FLAG,PP_RESTRICTIONS,TAX_QUAL_CODE,SUB_TYPE,MOD_CODER,MOD_DATE   ,MOD_TIME   ,COMP_UPD_COUNT,COMP_KEY0                                               ,ROW_COLUMN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
----------,----------------,-----------,-----------,--------------,----------------------------------------,-----------,-------------,-------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,----------------,------------------,------------------,--------------,---------------,--------------,----------------,----------------,-------------,-------------,-------------,--------------,---------,---------,---------,---------,---------,---------,-------------,---------,---------,--------------,------------,--------------,---------------,-------------,--------------,--------,--------,--------,--------,--------,--------,--------,--------,--------,---------,--------,--------,--------,--------,--------,--------,--------,--------,--------,---------,-------------,-------------,---------------,-----------,---------------,-------------,-------------,-----------,----------------,---------------,------------------,--------------,--------------,----------,----------,----------,------------------,-----------,--------------,---------,------------------,-------------,----------------,------------------,-----------------,----------------,---------------,-------------,--------,---------,-----------,-----------,--------------,--------------------------------------------------------,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10827 CSI3,               1,   20991231,10827 CSI3 ,BA            ,CSI Life $3000                          ,           ,           46,           75,             3,             0,             0,             0,             0,             0,             3,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       75,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,               ,@            ,       1,KCBA     ,   20031002,   14090494,             0,0x313038323720435349333030314040403030313230393931323331,0x313038323720435349333030313230393931323331313038323720435349334241435349204C6966652024333030302020202020202020202020202020202020202020202020202020203034363037350300000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203037353030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E594920403030312020202020202020204B4342411AA63101FE00D700
10827 CSI5,               1,   20991231,10827 CSI5 ,BA            ,CSI Life $5000                          ,           ,           46,           75,             5,             0,             0,             0,             0,             0,             5,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       75,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,               ,@            ,       1,SXH1     ,   20030904,    7500846,             0,0x313038323720435349353030314040403030313230393931323331,0x313038323720435349353030313230393931323331313038323720435349354241435349204C6966652024353030302020202020202020202020202020202020202020202020202020203034363037350500000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203037353030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E5949204030303120202020202020202053584831B8A531012E747200
10827 CSI7,               1,   20991231,10827 CSI7 ,BA            ,CSI Life $7500                          ,           ,           46,           75,             7,             0,             0,             0,             0,             0,             8,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       75,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,               ,@            ,       1,SXH1     ,   20030904,    7504812,             0,0x313038323720435349373030314040403030313230393931323331,0x313038323720435349373030313230393931323331313038323720435349374241435349204C6966652024373530302020202020202020202020202020202020202020202020202020203034363037350700000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203037353030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E5949204030303120202020202020202053584831B8A53101AC837200
10827 MN5K,               1,   20991231,10827 MN5K ,BA            ,CSI Life MN $5000                       ,           ,           46,           75,             5,             0,             0,             0,             0,             0,             5,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       75,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,               ,@            ,       1,SXH1     ,   20030904,    7535249,             0,0x3130383237204D4E354B3030314040403030313230393931323331,0x3130383237204D4E354B30303132303939313233313130383237204D4E354B4241435349204C696665204D4E2024353030302020202020202020202020202020202020202020202020203034363037350500000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203037353030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E5949204030303120202020202020202053584831B8A5310191FA7200
1578 SPSPU,               1,   20991231,1578 SPSPU ,BA            ,Paid Up Spouse Term Rider               ,           ,           18,           65,             1,             0,             0,             0,             0,             0,             3,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       65,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,N              ,@            ,       1,KPSA     ,   20151202,   10041317,             5,0x313537382053505350553030314040403030313230393931323331,0x313537382053505350553030313230393931323331313537382053505350554241506169642055702053706F757365205465726D205269646572202020202020202020202020202020203031383036350100000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203036353030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E59494E403030312020202020202020204B505341A27B3301E5379900
619 CH PU ,               1,   20991231,619 CH PU  ,BA            ,Decr Term Paid Up for Child             ,           ,            0,           22,             1,             0,             0,             0,             0,             0,             1,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       22,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,               ,@            ,       1,SXHB     ,   20030904,   15354744,             0,0x363139204348205055203030314040403030313230393931323331,0x36313920434820505520303031323039393132333136313920434820505520424144656372205465726D205061696420557020666F72204368696C6420202020202020202020202020203030303032320100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203032323030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E5949204030303120202020202020202053584842B8A53101784BEA00
619 DT    ,               1,   20021220,619 DT     ,BA            ,Decreasing Term                         ,           ,            0,           59,             1,             0,             0,             0,             0,             0,             1,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       59,        0,        0,        0,        0,        0,             ,B        ,U        ,B             ,            ,           .00,               ,            0,             1,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 , (YES/NO)    ,                ,N                 ,Y                ,I               ,               ,@            ,       1,SXH1     ,   20030903,    9455609,             0,0x363139204454202020203030314040403030313230303231323230,0x36313920445420202020303031323030323132323036313920445420202020424144656372656173696E67205465726D20202020202020202020202020202020202020202020202020203030303035390100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E20202020202020202020202020202020202020202020203035393030303030303030303030303030302020204255422000000000000F202020303030303130303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020203030303030303052303030303030303020592030203020304E20285945532F4E4F29204E5949204030303120202020202020202053584831B7A53101F9479000
619 DT    ,               2,   20021220,619 DT SP  ,OR            ,Spouse Decreasing Term                  ,           ,            0,           59,             1,             0,             0,             0,             0,             0,             1,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       59,        0,        0,        0,        0,        0,             ,B        ,U        ,N             ,            ,           .00,               ,            0,             0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 ,             ,                ,                  ,N                ,I               ,               ,@            ,       1,SXH1     ,   20030903,    9455898,             0,0x363139204454202020203030324040403030313230303231323230,0x363139204454202020203030323230303231323230363139204454205350204F5253706F7573652044656372656173696E67205465726D202020202020202020202020202020202020203030303035390100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E202020202020202020202020202020202020202020202030353930303030303030303030303030303020202042554E2000000000000F202020303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020202020202020203052303030303030303020592030203020304E20202020202020202020204E49204030303120202020202020202053584831B7A531011A499000
619 DT    ,               3,   20021220,619 DT CH  ,CR            ,Child Decreasing Term                   ,           ,            0,           22,             1,             0,             0,             0,             0,             0,             1,             0,             0,             0,             0,             0,               1,N                 ,N                 ,             0,              0,              ,N               ,N               ,             ,             ,             ,              ,       22,        0,        0,        0,        0,        0,             ,B        ,U        ,N             ,            ,           .00,               ,            0,             0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,       0,       0,       0,       0,       0,       0,       0,       0,       0,        0,             ,            0,               ,@@         ,N              ,             ,             ,B          ,                ,            .00,R                 ,             0,             0,         0,         0,          ,Y                 ,          0,             0,        0,N                 ,             ,                ,                  ,N                ,I               ,               ,@            ,       1,SXH1     ,   20030903,    9460198,             0,0x363139204454202020203030334040403030313230303231323230,0x3631392044542020202030303332303032313232303631392044542043482043524368696C642044656372656173696E67205465726D20202020202020202020202020202020202020203030303032320100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000003030314E4E3030303030302020202020202020202020204E4E202020202020202020202020202020202020202020202030323230303030303030303030303030303020202042554E2000000000000F202020303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030203030202040404E202020202020422020202020202020202020202020202020203052303030303030303020592030203020304E20202020202020202020204E49204030303120202020202020202053584831B7A53101E6599000
