TABLE,PLAN,TYPE_CODE,KEY,COLUMN,DROPPED_CAPPED_VALUE,RETAINED_GENUINE_VALUE
QuikCvs,1L10OD,CV,1L10OD|99|00|M|ST|01|0000|00|19000101,0,0.0,1000.0
QuikCvs,1L10OD,CV,1L10OD|99|00|M|PR|01|0000|00|19000101,0,0.0,1000.0
QuikCvs,1L10OD,CV,1L10OD|99|00|M|SM|01|0000|00|19000101,0,0.0,1000.0
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,920ADB,PR,920ADB|99|00|M|00|01|0000|00|19000101,0,1.5,1.5
QuikGps,5667AT,PR,5667AT|99|00|M|PR|02|0000|00|19000101,0,533.17,501.23
QuikGps,5667AT,PR,5667AT|99|00|M|SM|02|0000|00|19000101,0,637.24,593.2
QuikGps,5667AT,PR,5667AT|99|00|M|PR|03|0000|00|19000101,0,516.33,485.4
QuikGps,5667AT,PR,5667AT|99|00|M|SM|03|0000|00|19000101,0,630.87,551.34
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
QuikGps,9STRWP,PR,9STRWP|99|00|M|SM|01|0000|00|19000101,0,1.0,1.0
