PLAN,TYPE_CODE,ORIGINAL_AGE,EMITTED_AGE,ROW_COUNT
1658CS,U6,100,99,4
1679CS,U5,100,99,2
1679CS,U6,100,99,4
1L10OD,CV,100,99,3
1L10PR,PR,100,99,2
1L10PR,PR,101,99,2
1L10PR,PR,102,99,2
1L10PR,PR,103,99,2
1L10PR,PR,104,99,2
1L10PR,PR,105,99,2
1L10PR,PR,106,99,2
1L10PR,PR,107,99,2
1L10PR,PR,108,99,2
1L10PR,PR,109,99,2
1L10PR,PR,110,99,2
1L10PR,PR,111,99,2
1L10PR,PR,112,99,2
1L10PR,PR,113,99,2
1L10PR,PR,114,99,2
1L10PR,PR,115,99,2
1L10PR,PR,116,99,2
1L10PR,PR,117,99,2
1L10SO,PR,100,99,8
1L10SO,PR,101,99,8
1L10SO,PR,102,99,8
1L10SO,PR,103,99,8
1L10SO,PR,104,99,8
1L10SO,PR,105,99,8
1L10SO,PR,106,99,8
1L10SO,PR,107,99,8
1L10SO,PR,108,99,8
1L10SO,PR,109,99,8
1L10SO,PR,110,99,8
1L10SO,PR,111,99,8
1L10SO,PR,112,99,8
1L10SO,PR,113,99,8
1L10SO,PR,114,99,8
1L10SO,PR,115,99,8
1L10SO,PR,116,99,8
1L10SO,PR,117,99,8
543CTR,PR,100,99,1
543CTR,PR,101,99,1
543CTR,PR,102,99,1
543CTR,PR,103,99,1
543CTR,PR,104,99,1
543CTR,PR,105,99,1
543CTR,PR,106,99,1
543CTR,PR,107,99,1
543CTR,PR,108,99,1
543CTR,PR,109,99,1
543CTR,PR,110,99,1
543CTR,PR,111,99,1
543CTR,PR,112,99,1
543CTR,PR,113,99,1
543CTR,PR,114,99,1
543CTR,PR,115,99,1
543CTR,PR,116,99,1
543CTR,PR,117,99,1
5667AT,PR,100,99,5
578CTR,PR,100,99,1
578CTR,PR,101,99,1
578CTR,PR,102,99,1
578CTR,PR,103,99,1
578CTR,PR,104,99,1
578CTR,PR,105,99,1
