QLA,SL_SEQ,SL_AMT,BASE_AMT,SL_MODE_PREM,SL_ANN_PPU,BASE_MODE_PREM,PPOLC_MODE_PREM,SL_TABLE,ZERO_FACE_EXTRA,PREM_PATTERN
010391359C,3,2000.0,2000.0,0.46,2.64,3.38,3.84,04,False,Y
010469666C,2,10000.0,10000.0,2.18,2.5,15.18,17.36,01,False,Y
010497264C,4,5000.0,5000.0,2.19,5.03,8.78,10.97,03,False,Y
010521160C,2,2000.0,2000.0,1.02,5.85,5.85,6.87,02,False,Y
010549966C,3,1500.0,5205.0,3.17,23.46,15.0,18.17,01,False,Y
010770580C,2,0.0,5000.0,18.91,0.0,65.09,65.09,03,True,PARTIAL
010782078C,2,0.0,25000.0,8.05,0.0,37.99,37.99,02,True,PARTIAL
010799083C,2,25000.0,25000.0,86.77,39.44,88.97,175.73,00,False,Y
010886099C,2,100000.0,100000.0,655.49,24.2775,880.74,1536.23,00,False,Y
010921853C,2,25000.0,25000.0,127.47,57.94,257.14,384.61,00,False,Y
010987095C,3,25000.0,25000.0,1.22,0.1952,52.93,52.93,00,False,PARTIAL
011072405C,2,25000.0,25000.0,56.86,25.845,80.21,137.07,00,False,Y
011097343C,2,5000.0,5000.0,21.7,52.08,25.64,47.34,08,False,Y
011104570C,2,5000.0,4145.13,68.33,27.33,0.0,222.18,04,False,PARTIAL
011112743C,2,5000.0,5000.0,44.4,17.76,134.05,178.45,03,False,Y
011175626C,2,10000.0,10000.0,34.15,13.66,134.23,168.38,02,False,Y
011182954C,2,5000.0,2611.97,4.39,10.54,0.0,24.84,02,False,PARTIAL
011183505C,2,5000.0,5000.0,16.04,12.83,69.33,85.37,02,False,Y
011185537C,2,25000.0,25000.0,10.91,4.96,26.22,37.13,00,False,Y
011187006C,2,10000.0,10000.0,11.79,14.15,48.36,60.15,02,False,Y
011190146C,4,40000.0,40000.0,8.23,2.47,40.15,48.38,02,False,Y
011193243C,2,5000.0,5000.0,9.26,22.22,26.51,35.77,03,False,Y
011201237C,2,25000.0,25000.0,26.26,11.935,56.91,83.17,00,False,Y
011201621C,2,25000.0,25000.0,223.7,33.14,460.89,684.59,00,False,Y
011203457C,2,15000.0,15000.0,4.1,3.28,25.37,29.47,02,False,Y
011208333C,2,25000.0,3171.82,6.37,3.06,0.0,26.87,04,False,PARTIAL
011208334C,3,50000.0,7398.63,6.83,1.64,0.0,41.91,02,False,PARTIAL
011208787C,2,50000.0,50000.0,14.0,3.36,108.75,122.75,01,False,Y
