audit_timestamp,production_dbf_flag,package_type,parent_claim_id,reconstructed_claim_id,workbench_bucket,balancing_difference_abs,governance_status,severity,remediability,business_review_required,future_controlled_replay_eligible,business_summary,rulebook_lineage
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010776027-2-SURRENDER_CLAIM-C2-20201215,RC-9010776027-2-SURRENDER_CLAIM-C2-20201215,LARGE_RESIDUAL_FAMILY,71843.33,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $71843.33 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9011110968-2-SURRENDER_CLAIM-C0-20190521,RC-9011110968-2-SURRENDER_CLAIM-C0-20190521,LARGE_RESIDUAL_FAMILY,59297.11,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $59297.11 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010722345-3-SURRENDER_CLAIM-C0-20240719,RC-9010722345-3-SURRENDER_CLAIM-C0-20240719,LARGE_RESIDUAL_FAMILY,56660.67,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $56660.67 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010770719-3-SURRENDER_CLAIM-C0-20191213,RC-9010770719-3-SURRENDER_CLAIM-C0-20191213,LARGE_RESIDUAL_FAMILY,46312.2,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $46312.2 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010816898-3-SURRENDER_CLAIM-C0-20181121,RC-9010816898-3-SURRENDER_CLAIM-C0-20181121,LARGE_RESIDUAL_FAMILY,44180.64,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $44180.64 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010760306-3-SURRENDER_CLAIM-C0-20200101,RC-9010760306-3-SURRENDER_CLAIM-C0-20200101,LARGE_RESIDUAL_FAMILY,42245.61,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $42245.61 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010747186-2-SURRENDER_CLAIM-C5-20230227,RC-9010747186-2-SURRENDER_CLAIM-C5-20230227,LARGE_RESIDUAL_FAMILY,40222.22,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $40222.22 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010843280-3-SURRENDER_CLAIM-C0-20220507,RC-9010843280-3-SURRENDER_CLAIM-C0-20220507,LARGE_RESIDUAL_FAMILY,39337.85,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $39337.85 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010942439-2-SURRENDER_CLAIM-C0-20240205,RC-9010942439-2-SURRENDER_CLAIM-C0-20240205,LARGE_RESIDUAL_FAMILY,38713.96,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $38713.96 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
2026-05-24T19:22:25Z,N,SURRENDER_OFFSET_REVIEW,RC-9010786823-2-SURRENDER_CLAIM-C0-20250429,RC-9010786823-2-SURRENDER_CLAIM-C0-20250429,LARGE_RESIDUAL_FAMILY,36799.09,BUSINESS_REVIEW_REQUIRED,HIGH,NON_RECOVERABLE,Y,N,Surrender claim with $36799.09 residual classified as large residual family. Requires business review before any controlled replay.,phase16e_qa_uat_surrender_package
