TABLE_NAME,FIELD_NAME,DATA_TYPE,BUSINESS_MEANING,LIKELY_RUNTIME_USAGE,SOURCE_DEPENDENCY,NOTES
QuikPlan,PLAN,"CHAR(6)",6-position plan code; pos 1 = product type (system-defined) pos 2-6 = client-defined,Primary plan identity; root of every rate lookup,LifePRO plan/form crosswalk,CONFIRMED meaning (manual p537); already emitted by current quikplan conversion
QuikPlan,PAR,"CHAR(1)",Participating code 0=non-par 1=participating,Gates whether Dividend (DV) rates apply,LifePRO par indicator,CONFIRMED (manual p538); dividends enabled only when PAR=1
QuikPlan,VARGP,"CHAR(1)/NUM",Gross premium variation code 0 Level 1 Policy-yr 2 IssueAge+PolicyYr 3 Attained-age 4 Not-on-file,Determines GP factor-grid shape (single vs duration vs age-duration),LifePRO premium structure,CONFIRMED (manual p538 Var GP Code)
QuikPlan,VARDB,"CHAR(1)/NUM",Death benefit variation code 0 Level 1 Policy-yr 2 IssueAge+PolicyYr 3 Attained-age 4 Not-on-file,Determines DB factor-grid shape,LifePRO DB structure,CONFIRMED (manual p537 Var DB Code)
QuikPlan,PLANVALOPT,"CHAR(1)",PVO indicator Y/N - whether Plan Values Options + Rate File Options are enabled (V5),Master switch enabling segmented rate resolution,QLAdmin version + plan creation date,LIKELY = manual PVO indicator (p544); CONFIRMED concept UNKNOWN exact field name
QuikPlan,GDVARYGP,"CHAR(1)/LOGICAL",Does Gross Premium vary by GENDER,Adds Gender to GP key cardinality when Y,Plan segmentation design,CONFIRMED matrix meaning (manual p544); field present in QUIKPLAN_SCHEMA
QuikPlan,GDVARYDB,"CHAR(1)/LOGICAL",Does Death Benefit vary by GENDER,Adds Gender to DB key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,GDVARYCV,"CHAR(1)/LOGICAL",Does Cash Value vary by GENDER,Adds Gender to CV key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,GDVARYTV,"CHAR(1)/LOGICAL",Does Terminal Reserve vary by GENDER,Adds Gender to TV key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,GDVARYDV,"CHAR(1)/LOGICAL",Does Dividend vary by GENDER,Adds Gender to DV key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,UWVARYGP,"CHAR(1)/LOGICAL",Does Gross Premium vary by UW RISK CLASS,Adds UW class to GP key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,UWVARYDB,"CHAR(1)/LOGICAL",Does Death Benefit vary by UW RISK CLASS,Adds UW class to DB key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,UWVARYCV,"CHAR(1)/LOGICAL",Does Cash Value vary by UW RISK CLASS,Adds UW class to CV key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,UWVARYTV,"CHAR(1)/LOGICAL",Does Terminal Reserve vary by UW RISK CLASS,Adds UW class to TV key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,UWVARYDV,"CHAR(1)/LOGICAL",Does Dividend vary by UW RISK CLASS,Adds UW class to DV key when Y,Plan segmentation design,CONFIRMED meaning
QuikPlan,BDVARYGP,"CHAR(1)/LOGICAL",Does Gross Premium vary by BAND,Adds Band to GP key when Y,Plan band design,CONFIRMED meaning (BD = insurance band)
QuikPlan,BDVARYDB,"CHAR(1)/LOGICAL",Does Death Benefit vary by BAND,Adds Band to DB key when Y,Plan band design,CONFIRMED meaning
QuikPlan,BDVARYCV,"CHAR(1)/LOGICAL",Does Cash Value vary by BAND,Adds Band to CV key when Y,Plan band design,CONFIRMED meaning
QuikPlan,BDVARYTV,"CHAR(1)/LOGICAL",Does Terminal Reserve vary by BAND,Adds Band to TV key when Y,Plan band design,CONFIRMED meaning
QuikPlan,BDVARYDV,"CHAR(1)/LOGICAL",Does Dividend vary by BAND,Adds Band to DV key when Y,Plan band design,CONFIRMED meaning
QuikPlan,STVARYGP,"CHAR(1)/LOGICAL",Does Gross Premium vary by ISSUE STATE/COUNTRY,Adds State/country to GP key when Y,Plan state design,CONFIRMED meaning
QuikPlan,STVARYDB,"CHAR(1)/LOGICAL",Does Death Benefit vary by ISSUE STATE/COUNTRY,Adds State/country to DB key when Y,Plan state design,CONFIRMED meaning
QuikPlan,STVARYCV,"CHAR(1)/LOGICAL",Does Cash Value vary by ISSUE STATE/COUNTRY,Adds State/country to CV key when Y,Plan state design,CONFIRMED meaning
QuikPlan,STVARYTV,"CHAR(1)/LOGICAL",Does Terminal Reserve vary by ISSUE STATE/COUNTRY,Adds State/country to TV key when Y,Plan state design,CONFIRMED meaning
QuikPlan,STVARYDV,"CHAR(1)/LOGICAL",Does Dividend vary by ISSUE STATE/COUNTRY,Adds State/country to DV key when Y,Plan state design,CONFIRMED meaning
QuikPlan,INTMETHCV,"CHAR(1)/NUM",Cash value interest method (stored behind Cash Values button in V5),Drives CV interpolation/compounding at runtime,Actuarial product spec,CONFIRMED placement (manual p543/546); enum UNKNOWN
QuikPlan,INTMETHTV,"CHAR(1)/NUM",Reserve (terminal value) interest method,Drives TV/NP reserve compounding,Actuarial product spec,CONFIRMED placement; LIKELY same enum as Reserve Interest Method 0=Curtate 1=Continuous
QuikPlan,DEFICIENCY,"CHAR(1)",Calc Dfcy - compute deficiency reserves in valuation (N = manual),Triggers deficiency reserve calc when stat net premium > gross premium,Actuarial product spec,CONFIRMED (manual p538)
QuikPlan,NFOINT,"NUM",Non-forfeiture / NFO interest rate (rebate),Used in NFO and surrender value calcs,Actuarial product spec,LIKELY = NFO interest rebate stored behind Cash Values button
QuikRidr,(plan/phase keys),"CHAR",Coverage Master File - links a policy coverage/phase to its PLAN,Resolves which plan rate set a coverage uses,Existing quikridr conversion,CONFIRMED table role (manual p543); already emitted today
QuikQxs,(mortality code + qx),"MIXED",Mortality Rates table keyed by mortality table code,Supplies qx for reserve / NP / CV / deficiency calcs,Actuarial mortality libraries,CONFIRMED table exists; codes per Appendix 6.9 (e.g. A1 1980 CSO Male / 11 2001 CSO Male / 51 2017 CSO Male)
QUIKPLGP,PLAN,"CHAR(6)",Plan code owning this GP rate-file-option key,Join root to QuikGps factors,quikplan,LIKELY key-layer column; UNKNOWN exact layout (table name user-supplied not in manual)
QUIKPLGP,GENDER,"CHAR",Gender segment of the key (default 0),Selects GP segmentation branch,Plan values options,LIKELY; populated only when GDVARYGP=Y else default 0
QUIKPLGP,UWCLASS,"CHAR(2)",UW risk class segment (default 00),Selects GP segmentation branch,Plan values options,LIKELY; populated only when UWVARYGP=Y
QUIKPLGP,BAND,"CHAR(2)",Insurance band segment (default 00),Selects GP segmentation branch,Plan values options,LIKELY; populated only when BDVARYGP=Y
QUIKPLGP,ISSCNTRY,"CHAR",Issue country segment,Selects GP segmentation branch,Plan values options,LIKELY; pairs with ISSUEST
QUIKPLGP,ISSUEST,"CHAR(2)",Issue state segment,Selects GP segmentation branch,Plan values options,LIKELY; populated only when STVARYGP=Y
QUIKPLGP,EFFDATE,"DATE",Effective date / rate generation,Selects which rate generation applies,Actuarial rate filing,LIKELY; CONFIRMED that state/country rate files can have different effective dates (manual p545)
QUIKPLGP,VALUES,"CHAR(1)",Values present indicator Y/N,Prevents delete of in-use keys; signals whether QuikGps rows exist,QLAdmin maintenance,CONFIRMED concept (manual p546 Values column); LIKELY a stored flag
QUIKPLCV,(same key columns),"MIXED",Cash Value rate-file-option keys,Join root to QuikCvs,quikplan + PVO,LIKELY mirror of QUIKPLGP for CV family
QUIKPLDB,(same key columns),"MIXED",Death Benefit rate-file-option keys,Join root to QuikDbs,quikplan + PVO,LIKELY mirror for DB family
QUIKPLDV,(same key columns),"MIXED",Dividend rate-file-option keys,Join root to QuikDvs,quikplan + PVO,LIKELY mirror for DV family (only when PAR=1)
QUIKPLTV,(same key columns),"MIXED",Reserve/Terminal Value rate-file-option keys; also carries reserve assumptions,Join root to QuikTvs + QuikNps; holds mortality/reserve method/interest,quikplan + PVO + Reserves button,LIKELY holds RSVINT/RSVMETH/MORT/ETIMORT/INTMETH per manual 'Reserves button' description; CONFIRMED these assumptions live behind PVO Reserves button
