file,reference,prechange_count,postchange_count,active_or_historical,resolved,remaining_reason,future_issue
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/cfic_green_sheet_template.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/extract_cfic_green_sheets.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/research_cfic_issue01_inventory.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/risk_review_cfic_issue01.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_01/scripts/validate_cfic_issue01_p7mn_pilot.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/cfic_permalife7_template.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/emit_cfic_pdf_rates.py,combined_patterns,,3,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/extract_cfic_pdf_rates.py,combined_patterns,,2,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_02/scripts/validate_cfic_pdf_permalife7.py,combined_patterns,,1,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/cfic_crosswalk.py,combined_patterns,,1,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/cfic_dbf_reader.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/emit_cfic_reserve_rates.py,combined_patterns,,0,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_plans_dbf.py,combined_patterns,,1,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/extract_cfic_reserve_dbf.py,combined_patterns,,3,HISTORICAL,N/A,none,
archive/legacy_cfic_rates/issues/CFIC_Issue_03/scripts/validate_cfic_reserve_rates.py,combined_patterns,,0,HISTORICAL,N/A,none,
config/controlled_status_values.yaml,combined_patterns,,0,HISTORICAL,N/A,none,
conversion/orchestration/build_cfic_assumption_template.py,combined_patterns,,0,HISTORICAL,N/A,none,
conversion/orchestration/cfic_rate_publish.py,combined_patterns,,0,HISTORICAL,N/A,none,
conversion/orchestration/cfic_reserve_build.py,combined_patterns,,0,HISTORICAL,N/A,none,
conversion/orchestration/legacy_cfic_paths.py,combined_patterns,,0,HISTORICAL,N/A,none,
conversion/orchestration/package_cfic_rates.py,combined_patterns,,0,HISTORICAL,N/A,none,
issues/closed/legacy_CFIC_Issue_01/requirements-cfic-ocr.txt,combined_patterns,,0,HISTORICAL,N/A,none,
issues/closed/legacy_CFIC_Issue_02/requirements-cfic-pdf.txt,combined_patterns,,0,HISTORICAL,N/A,none,
manifests/post_stage2a_source_snapshot.json,combined_patterns,,2,HISTORICAL,N/A,none,
manifests/preflight_source_snapshot.json,combined_patterns,,4,HISTORICAL,N/A,none,
manifests/stage2b_post_source_snapshot.json,combined_patterns,,2,HISTORICAL,N/A,none,
manifests/stage2b_preflight.json,combined_patterns,,3,HISTORICAL,N/A,none,
reports/audit/emit_summary.json,combined_patterns,,3,HISTORICAL,N/A,none,
tools/inventory/cfic_inventory_core.py,combined_patterns,,17,HISTORICAL,N/A,none,
tools/inventory/legacy__build_plan_rate_inventory.py,combined_patterns,,30,HISTORICAL,N/A,none,
tools/inventory/run_stage2a_inventory.py,combined_patterns,,23,HISTORICAL,N/A,none,
tools/migration/run_stage2b_migration.py,combined_patterns,,18,HISTORICAL,N/A,none,
tools/reporting/_build_rate_load_tracker.py,combined_patterns,,0,HISTORICAL,N/A,none,
tools/reporting/run_stage3_architecture_analysis.py,combined_patterns,,63,HISTORICAL,N/A,none,
