MPLAN,MEFFDATE,MCURRATE,MGTDRATE
1658C1,19800101,11.0000,11.0000
1658C1,19890101,9.0000,9.0000
1658C1,19990101,5.0000,5.0000
1658C1,20020101,4.5000,4.5000
1658CS,19800101,11.0000,11.0000
1658CS,19890101,9.0000,9.0000
1658CS,19990101,5.0000,5.0000
1658CS,20020101,4.5000,4.5000
1659C2,19800101,11.0000,11.0000
1659C2,19890101,9.0000,9.0000
1659C2,19990101,5.0000,5.0000
1659C2,20020101,4.5000,4.5000
1659CR,19800101,11.0000,11.0000
1659CR,19890101,9.0000,9.0000
1659CR,19990101,5.0000,5.0000
1659CR,20020101,4.5000,4.5000
1659CS,19800101,11.0000,11.0000
1659CS,19890101,9.0000,9.0000
1659CS,19990101,5.0000,5.0000
1659CS,20020101,4.5000,4.5000
1659SR,19800101,11.0000,11.0000
1659SR,19890101,9.0000,9.0000
1659SR,19990101,5.0000,5.0000
1659SR,20020101,4.5000,4.5000
1669SR,19800101,11.0000,11.0000
1669SR,19890101,9.0000,9.0000
1669SR,19990101,5.0000,5.0000
1669SR,20020101,4.5000,4.5000
1679CS,19800101,11.0000,11.0000
1679CS,19890101,9.0000,9.0000
1679CS,19990101,5.0000,5.0000
1679CS,20020101,4.5000,4.5000
