table,category,expected_rows,output_rows,output_present,qla_export_rows,qla_export_present,qla_export_path
QuikAint,interest,2,2,Y,,N,
QuikCoi,factor,792,792,Y,,N,
QuikCvs,factor,37999,37999,Y,,N,
QuikDbs,factor,2513,2513,Y,,N,
QuikDvs,factor,6452,6452,Y,,N,
QuikGcoi,factor,198,198,Y,,N,
QuikGps,factor,11983,11983,Y,,N,
QuikIssc,surrender,8,8,Y,,N,
QuikNff,factor,20217,20217,Y,,N,
QuikNps,factor,52647,52647,Y,,N,
QuikPlBd,member,129,129,Y,,N,
QuikPlCv,key,236,236,Y,,N,
QuikPlDb,key,215,215,Y,,N,
QuikPlDv,key,215,215,Y,,N,
QuikPlGd,member,217,217,Y,,N,
QuikPlGp,key,287,287,Y,,N,
QuikPlNb,member,129,129,Y,,N,
QuikPlSt,member,129,129,Y,,N,
QuikPlTv,key,286,286,Y,,N,
QuikPlUw,member,187,187,Y,,N,
QuikTvs,factor,53970,53970,Y,,N,
QuikUint,interest,32,32,Y,,N,
QuikUwpo,uw_class,5,5,Y,,N,
