Row_Type,Overall_Result,Check_Name,Check_Result,What_We_Checked,Records_Reviewed,Looked_Fine,Problems_Found,Problem_Detail,When_It_Ran,Run_ID,Data_Folder
OVERALL,FAILED — problems were found that need attention,All company-code checks,FAILED — problems were found that need attention,"Company codes in QuikComp are unique, and every agent and policy points to a real company code.",18,7,11,11 problem(s) listed in the rows below.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Number Must Be Unique,FAILED — problems were found that need attention,Ensure each group number appears only once in QuikList.,2,0,2,QuikList contains 2 records for group number '12345678'. Each group number must be unique.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Number Must Be Unique,FAILED — problems were found that need attention,Ensure each group number appears only once in QuikList.,2,0,2,QuikList contains 2 records for group number '12345678'. Each group number must be unique.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,QuikList Company Code Must Exist in QuikComp,FAILED — problems were found that need attention,Ensure every company code assigned to a QuikList group is defined in QuikComp.,2,0,2,"Group number '12345678' uses company code 'X', but company code 'X' does not exist in QuikComp.",2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,QuikList Company Code Must Exist in QuikComp,FAILED — problems were found that need attention,Ensure every company code assigned to a QuikList group is defined in QuikComp.,2,0,2,"Group number '12345678' uses company code 'A', but QuikComp contains multiple records for company code 'A'.",2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Billing Name Must Be Populated,FAILED — problems were found that need attention,Ensure every QuikList group has a billing name.,2,1,1,Group number '12345678' does not contain a group billing name in MBILLNAME.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Bill Sort Must Default to N,FAILED — problems were found that need attention,Ensure QuikList.MSORT equals the business-supplied default N.,2,1,1,Group number '12345678' has MSORT='X'. The required governance value is 'N'.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Life Lapse Days Must Default to Zero,FAILED — problems were found that need attention,Ensure QuikList.MLAPSEL equals the business-supplied default 0.,2,1,1,Group number '12345678' has MLAPSEL='30'. The required governance value is 0.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Health and Accident Lapse Days Must Default to Zero,FAILED — problems were found that need attention,Ensure QuikList.MLAPSEH equals the business-supplied default 0.,2,1,1,Group number '12345678' has MLAPSEH='30'. The required governance value is 0.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Status Must Default to Active,FAILED — problems were found that need attention,Ensure QuikList.MSTATUS equals the business-supplied default A.,2,1,1,Group number '12345678' has MSTATUS='I'. The required governance value is 'A'.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Bill Day Must Default to Zero,FAILED — problems were found that need attention,Ensure QuikList.MBILLDAY equals the business-supplied default 0.,2,1,1,Group number '12345678' has MBILLDAY='15'. The required governance value is 0.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
PROBLEM,FAILED — problems were found that need attention,Group Bill Mode Must Default to Zero,FAILED — problems were found that need attention,Ensure QuikList.MBILLMODE equals the business-supplied default 0.,2,1,1,Group number '12345678' has MBILLMODE='12'. The required governance value is 0.,2026-07-18 10:24:05,DG-20260718_102405_823544,c:\Users\warren\Documents\GitHub\Warrenhughes1974\data_governance\docs\sample_report_output\quiklist_sample
