WL,PdUp65,Pay20,WLCashValueIn10,WLCashValueIn20,WLCashValueAt65,WLPaidUpIn10,WLPaidUpIn20,WLPaidUpAt65,PdUp65CashValueIn10,PdUp65CashValueIn20,PdUp65CashValueAt65,PdUp65PaidUpIn10,PdUp65PaidUpIn20,PdUp65PaidUpAt65,Pay20CashValueIn10,Pay20CashValueIn20,Pay20CashValueAt65,Pay20PaidUpIn10,Pay20PaidUpIn20,Pay20PaidUpAt65,MaleWOP,FemaleWOP,Age
6.199999809,7.28000021,12.35999966,11,50,520,123,397,933,12,53,558,134,421,1000,39,127,558,435,1000,1000,,,0
6.340000153,7.400000095,12.05000019,16,56,520,172,431,933,17,58,558,183,446,1000,43,131,558,462,1000,1000,,,1
8.100000381,9.569999695,14.52999973,26,82,507,207,464,910,28,88,558,223,498,1000,61,177,558,484,1000,1000,,,10
8.359999657,9.899999619,14.88000011,26,86,505,200,469,906,29,92,558,223,502,1000,62,184,558,477,1000,1000,,,11
8.630000114,10.22999954,15.22999954,27,90,503,202,474,902,29,96,558,216,505,1000,64,191,558,477,1000,1000,,,12
8.920000076,10.59000015,15.60000038,28,94,501,202,477,899,31,101,558,224,512,1000,66,198,558,476,1000,1000,,,13
9.210000038,10.96000004,15.97000027,29,99,499,203,484,895,32,106,558,224,518,1000,68,205,558,475,1000,1000,,,14
9.5,11.31999969,16.36000061,31,103,497,210,486,892,34,112,558,230,528,1000,71,213,558,479,1000,1000,0.25,0.3799999952,15
9.789999962,11.69999981,16.64999962,32,109,495,209,496,888,36,118,558,235,536,1000,73,221,558,476,1000,1000,0.2599999905,0.3899999857,16
10.06999969,12.09000015,17.01000023,34,114,492,215,500,883,38,124,558,240,543,1000,76,229,558,479,1000,1000,0.2700000107,0.400000006,17
10.35999966,12.47999954,17.35000038,37,120,490,225,507,879,40,131,558,244,554,1000,80,237,558,487,1000,1000,0.2700000107,0.4099999964,18
10.67000008,12.89000034,17.70000076,39,126,488,229,514,875,43,138,558,253,563,1000,83,246,558,487,1000,1000,0.2800000012,0.4199999869,19
6.480000019,7.550000191,12.25,17,58,519,177,432,931,18,61,558,187,455,1000,45,135,558,466,1000,1000,,,2
11,13.32999992,18.05999947,42,132,485,238,519,870,47,145,558,266,570,1000,87,255,558,492,1000,1000,0.2899999917,0.4300000072,20
11.35999966,13.78999996,18.42000008,45,139,483,246,528,866,50,153,558,273,581,1000,91,264,558,497,1000,1000,0.3000000119,0.4399999976,21
11.73999977,14.28999996,18.79999924,48,146,480,253,535,861,54,161,558,284,590,1000,95,274,558,500,1000,1000,0.3100000024,0.4600000083,22
12.14000034,14.80000019,19.20000076,51,152,477,259,538,856,57,169,558,289,598,1000,99,283,558,502,1000,1000,0.3199999928,0.4699999988,23
